Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
0.0,79.2,1.125,0.75,45.0,2.25,0.0,10.0,2.0951908330303013,0.010003904095414568,0.0012979004931061803,2.0951908330303013
1.53,0.0,2.25,0.495,14.850000000000001,2.25,0.99,8.2,2.0426042203846464,0.006023358715586399,0.0007280987167457538,2.0426042203846464
4.5,79.2,1.5075,0.495,30.150000000000002,2.25,0.99,10.0,1.9761296397807655,0.003183891042973893,0.0003576111575261274,1.9761296397807655
2.97,0.0,1.5075,1.0050000000000001,22.5,2.25,2.0100000000000002,10.0,1.935308432932061,0.0026342750296943617,0.000296175031904941,1.935308432932061
4.5,79.2,2.25,0.75,45.0,2.25,1.5,8.2,1.8796505929494742,0.0015129457663837166,0.00016118171136528118,1.8796505929494742
1.53,0.0,0.7425,0.495,22.5,2.25,0.99,8.2,1.7221847415801221,0.00038330849441710547,3.733044423614372e-05,1.7221847415801221
0.0,160.8,2.25,0.75,45.0,2.25,1.5,8.2,1.7151073861939494,0.0004369559430036442,4.3628276856471975e-05,1.7151073861939494
2.97,79.2,0.3825,0.75,30.150000000000002,2.25,2.0100000000000002,10.0,1.7100026820899075,0.0003434267504922977,3.323510707194658e-05,1.7100026820899075
0.0,79.2,2.25,0.255,0.0,2.25,0.0,10.0,1.7090256267736095,0.000793855016719273,8.739619591590763e-05,1.7090256267736095
2.97,79.2,2.25,1.0050000000000001,14.850000000000001,2.25,0.51,8.2,1.6942453037916039,0.0002788004557966863,2.6518174397517646e-05,1.6942453037916039
0.0,0.0,2.25,0.495,45.0,1.5075,3.0,8.2,1.6761481155403999,0.0004997425878344896,5.2475497829730633e-05,1.6761481155403999
1.53,120.0,1.5075,1.5,45.0,2.25,0.99,10.0,1.6628934278278393,0.00028506917057305367,2.7859263318940036e-05,1.6628934278278393
2.97,79.2,1.125,0.495,45.0,2.25,2.0100000000000002,6.4,1.6511685029458931,0.00019354683972969903,1.80985475750738e-05,1.6511685029458931
2.97,160.8,0.0,0.0,45.0,2.25,0.99,10.0,1.6503470740049124,0.00026936415476435386,2.6364495397254814e-05,1.6503470740049124
2.97,0.0,0.7425,1.0050000000000001,45.0,2.25,0.0,8.2,1.6486288112200782,0.00023309008380338028,2.2392399689573686e-05,1.6486288112200782
1.53,120.0,1.5075,0.255,22.5,2.25,0.99,8.2,1.624177391229523,0.0001405055842732958,1.2855112353269386e-05,1.624177391229523
9.0,0.0,0.7425,0.255,45.0,2.25,0.99,10.0,1.6238569040822313,0.00018610636228143788,1.7666592246708113e-05,1.6238569040822313
2.97,160.8,0.3825,0.75,45.0,2.25,2.0100000000000002,10.0,1.5988769676937409,0.00012328630634506394,1.1300066620992282e-05,1.5988769676937409
2.97,160.8,1.125,0.495,45.0,2.25,0.99,8.2,1.5954263788951266,0.00010617054714439942,9.575107052265682e-06,1.5954263788951266
1.53,40.800000000000004,2.25,0.255,22.5,2.25,3.0,6.4,1.5534430903285283,0.00010191188153426122,9.42083595601703e-06,1.5534430903285283
2.97,79.2,1.5075,0.495,30.150000000000002,2.25,0.51,6.4,1.5491782035082906,5.7948649025602415e-05,5.023121451722847e-06,1.5491782035082906
6.03,160.8,2.25,1.5,22.5,2.25,0.51,10.0,1.5236805630313484,8.6129548175115e-05,7.96229080405952e-06,1.5236805630313484
9.0,0.0,2.25,0.75,30.150000000000002,2.25,1.5,8.2,1.5224169472480753,6.377122860736876e-05,5.693712699968867e-06,1.5224169472480753
