Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA
4.68,0.0,1.494,1.0050000000000001,30.0,9.0,0.0,10.0
9.0,40.0,0.5940000000000001,0.495,30.0,9.0,2.0100000000000002,10.0
7.56,26.400000000000002,1.8,0.0,30.0,9.0,2.4899999999999998,10.0
7.56,40.0,1.8,0.75,19.8,9.0,2.0100000000000002,8.2
4.68,40.0,1.8,1.2449999999999999,0.0,9.0,2.0100000000000002,10.0
4.68,0.0,1.2060000000000002,0.0,19.8,9.0,0.0,10.0
9.0,40.0,1.494,1.0050000000000001,0.0,8.280000000000001,0.0,10.0
9.0,40.0,1.494,1.0050000000000001,0.0,8.280000000000001,2.0100000000000002,10.0
9.0,66.39999999999999,1.494,0.75,0.0,8.280000000000001,0.99,10.0
9.0,0.0,0.9,0.495,30.0,8.280000000000001,2.4899999999999998,10.0
6.12,26.400000000000002,1.8,0.75,19.8,7.56,0.99,10.0
6.12,26.400000000000002,1.8,0.75,19.8,7.56,1.5,10.0
9.0,80.0,1.2060000000000002,0.495,19.8,8.280000000000001,0.99,10.0
7.56,0.0,0.9,0.75,0.0,8.280000000000001,2.0100000000000002,8.2
9.0,53.6,0.9,0.495,30.0,9.0,3.0,10.0
7.56,0.0,0.5940000000000001,0.495,19.8,9.0,3.0,8.2
6.12,0.0,0.0,1.0050000000000001,0.0,9.0,0.99,10.0
7.56,0.0,1.2060000000000002,0.75,40.2,8.280000000000001,0.0,10.0
7.56,53.6,0.5940000000000001,0.0,19.8,9.0,1.5,8.2
7.56,66.39999999999999,1.2060000000000002,0.75,19.8,8.280000000000001,2.4899999999999998,10.0
7.56,26.400000000000002,0.9,0.75,40.2,9.0,2.4899999999999998,8.2
7.56,0.0,0.0,0.75,0.0,9.0,2.4899999999999998,8.2
4.68,26.400000000000002,0.5940000000000001,0.0,0.0,9.0,1.5,8.2
4.68,26.400000000000002,1.494,0.495,19.8,8.280000000000001,2.0100000000000002,8.2
3.2399999999999998,26.400000000000002,1.8,0.495,19.8,9.0,3.0,10.0
6.12,66.39999999999999,0.9,1.5,19.8,9.0,1.5,8.2
4.68,26.400000000000002,0.0,0.75,0.0,9.0,3.0,10.0
9.0,0.0,1.8,0.75,40.2,8.280000000000001,0.0,8.2
7.56,26.400000000000002,1.8,1.5,19.8,9.0,0.0,6.4
7.56,0.0,0.5940000000000001,0.0,0.0,9.0,0.99,6.4
7.56,53.6,1.8,0.75,49.8,9.0,2.4899999999999998,10.0
6.12,0.0,0.9,1.5,40.2,9.0,2.4899999999999998,8.2
3.2399999999999998,40.0,1.494,0.0,19.8,9.0,0.99,8.2
9.0,66.39999999999999,1.2060000000000002,0.0,19.8,7.56,0.99,10.0
7.56,40.0,1.494,0.75,0.0,8.280000000000001,3.0,8.2
9.0,26.400000000000002,1.8,0.495,40.2,9.0,0.99,6.4
3.2399999999999998,0.0,1.2060000000000002,0.495,40.2,9.0,0.0,10.0
7.56,80.0,1.8,0.495,40.2,9.0,1.5,8.2
6.12,26.400000000000002,1.8,1.5,40.2,9.0,2.0100000000000002,8.2
7.56,26.400000000000002,0.0,0.495,30.0,9.0,2.4899999999999998,8.2
7.56,26.400000000000002,1.2060000000000002,1.5,19.8,7.56,0.0,10.0
9.0,26.400000000000002,1.8,1.2449999999999999,0.0,8.280000000000001,3.0,8.2
6.12,66.39999999999999,1.2060000000000002,1.2449999999999999,19.8,7.56,0.99,10.0
7.56,66.39999999999999,1.8,0.0,19.8,9.0,2.0100000000000002,6.4
6.12,26.400000000000002,0.0,0.0,19.8,9.0,1.5,8.2
9.0,80.0,1.8,1.5,49.8,8.280000000000001,0.99,10.0
4.68,80.0,1.2060000000000002,0.495,19.8,9.0,2.4899999999999998,8.2
3.2399999999999998,53.6,1.494,1.0050000000000001,30.0,8.280000000000001,0.99,10.0
3.2399999999999998,0.0,0.9,1.0050000000000001,0.0,9.0,2.4899999999999998,6.4
4.68,26.400000000000002,1.494,1.0050000000000001,0.0,7.56,2.4899999999999998,10.0
