Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
0.99,26.400000000000002,0.0,0.0,90.0,4.5,2.0100000000000002,10.0,2.7950317186230222,0.2682339196771932,0.05750269220591336,4.550379718792591
2.4899999999999998,0.0,2.25,0.0,74.7,4.5,2.4899999999999998,10.0,3.2101413806405787,0.7976026151177146,0.22497452462684947,4.398167912226543
2.0100000000000002,26.400000000000002,1.8675,0.495,90.0,4.5,0.0,10.0,2.959053454371997,0.42658934226920914,0.08980161018754998,4.392065442650036
0.99,80.0,0.0,0.495,90.0,4.5,2.0100000000000002,10.0,2.6761842552273833,0.1509471156721232,0.02547936124036901,4.30264144600056
3.0,80.0,0.0,0.0,90.0,4.5,2.4899999999999998,8.299999999999999,2.5510923187923424,0.09258990586213056,0.015018516075829269,4.290322768683354
3.0,40.0,2.25,1.0050000000000001,90.0,4.5,0.99,10.0,2.9489104023114407,0.40280816770363537,0.07394540137131281,4.232547341181368
1.5,80.0,1.125,1.0050000000000001,90.0,4.5,0.0,10.0,2.707492516235135,0.15816808986746766,0.0252313980212008,4.227025552303678
3.0,53.6,1.125,0.0,74.7,4.5,3.0,10.0,3.060553665977551,0.5824959189653651,0.11901121446246227,4.222940459814632
0.0,40.0,2.25,0.0,60.300000000000004,4.5,0.99,10.0,3.1625524731830126,0.7679089620911723,0.1782484445345377,4.18968374930806
2.4899999999999998,40.0,0.7425,0.495,74.7,4.5,0.0,10.0,2.9087263136711385,0.3369527348103397,0.054875927924371806,4.13668340296585
1.5,0.0,2.25,1.5,60.300000000000004,4.5,0.99,10.0,3.0195486408037766,0.5135607863884339,0.09103381263900379,4.112752773139049
1.5,26.400000000000002,0.0,1.2449999999999999,74.7,4.5,2.4899999999999998,8.299999999999999,2.5137210205687097,0.04962656555649096,0.006261928954455952,4.024883853259641
0.0,40.0,0.7425,0.495,74.7,4.5,2.4899999999999998,10.0,2.924996308559372,0.34331233162705393,0.04950359703002197,4.004155278637734
2.4899999999999998,26.400000000000002,1.125,1.0050000000000001,60.300000000000004,4.5,0.0,10.0,3.0011978493656954,0.47825279274225074,0.07449491547317855,4.001258490930262
2.4899999999999998,40.0,1.125,0.0,45.0,4.5,0.0,10.0,2.950434673693195,0.38305782027649093,0.055513455259493555,3.986665835327426
3.0,26.400000000000002,1.8675,1.5,29.700000000000003,4.5,0.0,10.0,2.8477361924949207,0.2290109990429745,0.02945149506885905,3.954727589104463
2.0100000000000002,80.0,1.5075,1.2449999999999999,90.0,4.5,2.0100000000000002,10.0,2.653663550236274,0.08338871496647376,0.00987573405085605,3.9494159059815805
0.99,26.400000000000002,0.7425,1.2449999999999999,90.0,4.5,3.0,6.7,2.297836102243167,0.015047289273129566,0.0017579269032146141,3.9440103523021763
3.0,80.0,1.5075,0.0,45.0,4.5,0.99,10.0,3.107906810241161,0.7189908683435575,0.12458538389378201,3.9334447220313806
0.99,0.0,1.5075,0.75,29.700000000000003,4.5,0.0,10.0,2.9699747707068127,0.41314626034988444,0.05736725991486034,3.9294954045466857
2.0100000000000002,26.400000000000002,1.125,1.2449999999999999,74.7,4.5,0.0,8.299999999999999,2.631646010961134,0.07025782677250864,0.008027385667433069,3.921846303390322
2.4899999999999998,80.0,0.7425,0.0,90.0,4.5,2.4899999999999998,6.7,2.4067222019898225,0.02191153703402184,0.002444160648957047,3.9078490021202255
2.0100000000000002,66.39999999999999,1.8675,0.0,74.7,4.5,0.99,8.299999999999999,2.883059224169017,0.26281294822195955,0.03240177006131226,3.899205991318415
3.0,26.400000000000002,1.125,1.0050000000000001,45.0,4.5,0.0,10.0,2.986701214032564,0.44451100500339374,0.060648307982053604,3.896702039734784
1.5,40.0,1.5075,1.0050000000000001,74.7,4.5,3.0,10.0,2.884679595781023,0.26388655040074893,0.032336322792532984,3.893289358176718
2.4899999999999998,40.0,1.125,1.0050000000000001,60.300000000000004,4.5,1.5,10.0,3.117254546876694,0.7514954681482158,0.12805038812148992,3.890769821324427
