Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
9.0,240.0,0.7425,1.5,7.65,0.3825,3.0,8.2,-0.1793672328427931,0.0006159762581374755,6.531220889255873e-05,7.743835832391061
9.0,40.800000000000004,2.25,1.0050000000000001,0.0,2.25,3.0,1.0,0.0711500311285711,0.0035473826079313736,0.0004157831983106872,7.720040423790872
4.5,79.2,2.25,0.255,30.150000000000002,2.25,0.0,8.2,1.5905867693783016,0.9448488520949517,0.496665807533289,7.719310512589922
2.97,120.0,0.0,1.5,7.65,2.25,0.0,10.0,0.6350464808897431,0.09399048355005751,0.015556660546960269,7.712812413083492
9.0,160.8,0.3825,0.255,0.0,2.25,3.0,8.2,0.3243055598417719,0.017593876789581835,0.002345124070751596,7.698589862740521
9.0,240.0,0.7425,0.255,0.0,2.25,0.0,8.2,0.42094208960384094,0.030696441450054665,0.004336139417067453,7.6907972550850925
1.53,40.800000000000004,1.125,0.75,22.5,2.25,0.51,10.0,1.388281722634364,0.8188725316780564,0.3182025788054472,7.690535140774808
2.97,240.0,2.25,0.495,22.5,2.25,0.0,8.2,1.218828381751294,0.6421329505400405,0.1962957560393364,7.682539823674721
9.0,160.8,1.125,1.5,0.0,2.25,0.0,6.4,0.5133530377806128,0.0505027505457131,0.007575096693901811,7.678991153951502
4.5,120.0,2.25,0.255,0.0,2.25,0.99,10.0,1.1457083401470136,0.5543005366425309,0.15386337453842175,7.678265487673088
4.5,40.800000000000004,2.25,1.0050000000000001,7.65,2.25,0.0,8.2,1.247844500280923,0.6759479243418883,0.21477726096025346,7.676454116489537
4.5,0.0,0.3825,1.5,45.0,2.25,0.51,6.4,0.86631416909119,0.2452940133552316,0.04954306345323055,7.675846509662684
6.03,0.0,0.7425,1.5,7.65,2.25,0.0,6.4,0.5870727362129546,0.07334813716910785,0.011588040176787412,7.668735189649633
0.0,160.8,0.0,1.5,45.0,1.125,3.0,8.2,0.42863643559039843,0.03162795911646522,0.004467377905385463,7.667581392446529
1.53,0.0,0.3825,1.5,30.150000000000002,2.25,0.0,6.4,0.7331658819237639,0.14405079726006004,0.025592883240414532,7.658295561727814
0.0,79.2,0.3825,0.0,22.5,2.25,0.99,10.0,1.0360348712887237,0.4221127888689993,0.10211120604141383,7.656606871604133
