Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
0.0,0.0,1.5075,0.255,45.0,2.25,0.99,10.0,2.554836128784018,0.13037745704620834,0.025039777382209125,2.554836128784018
2.97,0.0,2.25,0.495,45.0,2.25,2.0100000000000002,10.0,2.477188252849828,0.09160032705601134,0.016282552029262196,2.477188252849828
1.53,0.0,2.25,0.495,30.150000000000002,2.25,0.0,10.0,2.4690066711741565,0.08728584117125471,0.015310490869613523,2.4690066711741565
1.53,0.0,2.25,0.255,45.0,2.25,0.0,10.0,2.4665649572393704,0.08815389941818158,0.015628334875055168,2.4665649572393704
2.97,0.0,2.25,0.75,45.0,2.25,2.0100000000000002,10.0,2.417087353677516,0.06806143932729113,0.011429900989122992,2.417087353677516
0.0,0.0,1.5075,0.495,45.0,2.25,2.0100000000000002,8.2,2.377638465430664,0.05717700509551717,0.009406271714498225,2.377638465430664
0.0,40.800000000000004,2.25,0.75,30.150000000000002,2.25,2.0100000000000002,10.0,2.3409956170414716,0.04442370952820249,0.006904578935293209,2.3409956170414716
0.0,79.2,2.25,0.75,30.150000000000002,2.25,0.99,10.0,2.3239514245847204,0.03900861203466675,0.005891192301019428,2.3239514245847204
1.53,40.800000000000004,1.125,0.75,45.0,2.25,1.5,10.0,2.32393830558658,0.03939717309392891,0.0059743277267845785,2.32393830558658
0.0,79.2,1.5075,0.255,45.0,2.25,1.5,10.0,2.306389011280544,0.037097676618366736,0.005634877189321527,2.306389011280544
0.0,40.800000000000004,1.125,0.255,45.0,2.25,0.51,10.0,2.2953411088599296,0.03490887047205451,0.005259608840965036,2.2953411088599296
1.53,0.0,1.5075,0.495,30.150000000000002,2.25,0.0,10.0,2.2531098122510684,0.025957295596325345,0.0037151297511074863,2.2531098122510684
2.97,0.0,0.7425,0.0,45.0,2.25,1.5,10.0,2.187954210708085,0.019742587293223507,0.002804018670076628,2.187954210708085
2.97,0.0,1.125,0.255,30.150000000000002,2.25,1.5,10.0,2.183937994014741,0.01633459548190063,0.0021962520304622344,2.183937994014741
4.5,0.0,2.25,0.255,45.0,2.25,2.0100000000000002,8.2,2.1462151305277075,0.013794739681423848,0.0018461296617941648,2.1462151305277075
0.0,0.0,2.25,0.495,30.150000000000002,2.25,0.99,6.4,2.1410710246066174,0.012939711968324913,0.0017102846779175375,2.1410710246066174
1.53,79.2,1.125,0.255,45.0,2.25,0.51,10.0,2.134944934005489,0.011957917937448024,0.001556655684149054,2.134944934005489
0.0,40.800000000000004,1.5075,0.75,22.5,2.25,1.5,10.0,2.1342034656454416,0.011687047103779805,0.001512965004848375,2.1342034656454416
2.97,40.800000000000004,0.3825,0.495,45.0,2.25,2.0100000000000002,10.0,2.127994680634856,0.011600535821491861,0.0015095782747588191,2.127994680634856
2.97,40.800000000000004,2.25,0.255,30.150000000000002,2.25,0.51,8.2,2.126923680947584,0.010214588319369717,0.0012852063563699393,2.126923680947584
1.53,120.0,2.25,0.75,30.150000000000002,2.25,0.51,10.0,2.10640771331191,0.009348036993594303,0.001176107119012556,2.10640771331191
1.53,40.800000000000004,2.25,0.495,30.150000000000002,2.25,3.0,10.0,2.104054831236681,0.010691728155501252,0.0013982902284011504,2.104054831236681
2.97,0.0,0.3825,0.0,45.0,2.25,2.0100000000000002,10.0,2.1025621939018038,0.012309770992657681,0.0016771309192182178,2.1025621939018038
0.0,0.0,0.3825,0.495,45.0,2.25,1.5,8.2,2.1009930076083947,0.010711089959973271,0.0014063819922375369,2.1009930076083947
2.97,0.0,0.3825,0.0,45.0,2.25,1.5,10.0,2.0977623933149516,0.01133812089915335,0.0015177380492258138,2.0977623933149516
