Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
3.0,40.0,2.25,0.0,45.0,3.015,0.99,10.0,2.4776547348145916,0.2043533801879529,0.016654271476890685,1.7525489788009259
2.0100000000000002,53.6,1.5075,0.75,60.300000000000004,3.015,1.5,10.0,2.5091054670151833,0.29085613401806804,0.029308009163641468,1.7068591265951705
3.0,66.39999999999999,1.5075,0.495,45.0,3.735,1.5,10.0,2.6692709708920908,0.6410434205518651,0.12017802574280581,1.677086949500691
1.5,26.400000000000002,1.5075,0.495,29.700000000000003,3.015,1.5,10.0,2.2900944911512697,0.007183378684015481,0.000295413042077957,1.6626119942043558
2.4899999999999998,53.6,1.125,0.75,45.0,3.015,2.4899999999999998,10.0,2.3478474022478,0.03456893349415021,0.0018764448401304649,1.661415184381796
0.99,80.0,2.25,0.495,45.0,3.015,0.0,10.0,2.375624908225418,0.06436591701810096,0.004098160886393752,1.6456871134820699
3.0,0.0,2.25,0.0,60.300000000000004,3.015,0.99,10.0,2.5872109288744056,0.4786044406995453,0.07181132577648215,1.6242872669896637
0.0,0.0,1.125,0.495,45.0,3.735,0.99,10.0,2.717505924179145,0.706054876885678,0.16094771025788082,1.6111861017577036
0.99,26.400000000000002,1.5075,0.495,60.300000000000004,3.015,2.4899999999999998,8.299999999999999,2.4543226551683626,0.20825572456047436,0.020727942061018398,1.5734128096914881
2.0100000000000002,80.0,1.5075,0.495,45.0,3.015,3.0,10.0,2.3071761904917776,0.027442667769944407,0.0015879988691754714,1.551409619174398
0.99,40.0,1.5075,1.0050000000000001,29.700000000000003,3.015,1.5,10.0,2.184303700621014,0.0008711283445466484,3.1517492627520106e-05,1.5248723492859437
0.99,80.0,1.125,0.0,60.300000000000004,3.015,0.99,10.0,2.4083031833381203,0.1440537362248155,0.013164208657019862,1.5180489333290919
2.4899999999999998,26.400000000000002,1.125,0.75,45.0,2.25,2.0100000000000002,10.0,2.0087211953583153,1.1037587326312361e-09,1.7267019154170853e-11,1.5170337691048907
2.0100000000000002,53.6,2.25,0.0,60.300000000000004,3.015,1.5,8.299999999999999,2.3965113137864233,0.13067995439595664,0.011729648411443177,1.502061659735658
2.0100000000000002,80.0,0.7425,0.495,45.0,3.735,2.0100000000000002,10.0,2.5326973960779937,0.37904233421576183,0.05552884836575684,1.4803896401620624
3.0,26.400000000000002,1.8675,0.495,60.300000000000004,3.735,1.5,8.299999999999999,2.6403479278122375,0.5728874630117726,0.11589304109484728,1.476145338728358
2.0100000000000002,66.39999999999999,1.5075,0.0,45.0,2.25,0.99,10.0,1.9749344006695984,6.075693881680902e-10,9.74776398833305e-12,1.4632664103090414
2.0100000000000002,53.6,1.8675,0.495,45.0,2.25,2.0100000000000002,8.299999999999999,1.9392234804772832,4.630861138599014e-12,6.303247967958994e-14,1.456904959335676
2.4899999999999998,66.39999999999999,1.8675,0.495,29.700000000000003,3.735,2.0100000000000002,10.0,2.445654314983585,0.22179246169676198,0.025286743119271662,1.4548687831056677
0.99,66.39999999999999,1.8675,0.75,45.0,3.015,0.0,8.299999999999999,2.143991433170331,0.0005128963254363355,1.872589867101424e-05,1.4537981895192826
2.0100000000000002,40.0,2.25,0.495,45.0,3.735,2.4899999999999998,8.299999999999999,2.541235812460136,0.39824622812202765,0.06183889435610489,1.4499121697856707
2.0100000000000002,40.0,1.5075,0.0,45.0,3.735,3.0,10.0,2.669260521200033,0.6146630965068811,0.13814015100839178,1.4397025740876817
1.5,53.6,1.8675,0.75,45.0,2.25,0.99,8.299999999999999,1.9091905133904132,3.9101271112744066e-13,5.057129868118289e-15,1.429279207386517
3.0,53.6,1.125,0.75,45.0,2.25,2.4899999999999998,10.0,1.9258453348466542,3.5834509325015237e-11,5.427245717110448e-13,1.4110071629414631
1.5,80.0,2.25,0.495,29.700000000000003,3.735,2.0100000000000002,10.0,2.441660858480249,0.22626878329870914,0.0271640650502181,1.4045499349277486
3.0,80.0,1.8675,1.2449999999999999,29.700000000000003,3.015,0.99,10.0,2.061515622617923,3.5552849805873296e-05,1.088482490208828e-06,1.387343988890154
2.0100000000000002,80.0,1.125,0.75,45.0,3.735,0.0,10.0,2.4557941606451013,0.25443017553768854,0.03275674871881004,1.3833854611946976
0.0,40.0,1.5075,0.75,45.0,3.015,2.0100000000000002,6.7,2.0779218717572223,0.00011142409252970064,3.77826367833095e-06,1.374624187539319
3.0,80.0,2.25,0.75,45.0,3.735,2.0100000000000002,8.299999999999999,2.3967568443825704,0.1653534897026589,0.018112042570925378,1.365105338175939
3.0,26.400000000000002,1.125,0.0,45.0,3.015,3.0,8.299999999999999,2.1756206348986273,0.0047610245492389165,0.00024380801560877283,1.3624400038082027
2.4899999999999998,66.39999999999999,2.25,1.0050000000000001,60.300000000000004,3.015,2.0100000000000002,8.299999999999999,2.235762527810947,0.019389715497919985,0.0012415414626772538,1.3609087298563316
3.0,66.39999999999999,0.7425,0.75,45.0,2.25,2.0100000000000002,10.0,1.8506013420798568,2.8429431889501583e-14,3.6373021874309378e-16,1.3541376276684893
2.0100000000000002,53.6,1.5075,1.0050000000000001,45.0,3.015,3.0,8.299999999999999,2.0870758767902906,0.0002581003340558531,9.599477765614018e-06,1.3524900604187713
1.5,80.0,1.8675,1.0050000000000001,45.0,3.735,0.99,8.299999999999999,2.364132399262687,0.1269998103198281,0.012948300434790973,1.3414900990909366
0.0,53.6,1.5075,0.75,45.0,2.25,2.4899999999999998,8.299999999999999,1.8798365789854192,3.089434072975807e-11,4.966959267309237e-13,1.3315713082369325
2.0100000000000002,0.0,2.25,1.0050000000000001,60.300000000000004,3.735,1.5,8.299999999999999,2.61305906510772,0.5240420201264345,0.11054885027060055,1.3275625459810036
3.0,66.39999999999999,1.5075,1.2449999999999999,29.700000000000003,3.015,0.0,10.0,2.0260276521421954,2.816922867349891e-05,8.966686089162075e-07,1.3170285093440364
3.0,53.6,1.8675,0.75,45.0,3.735,0.0,8.299999999999999,2.354887060566028,0.12422510953400007,0.012949702702568261,1.3041001095640827
0.0,53.6,1.5075,1.5,45.0,3.015,1.5,10.0,2.1365643616744965,0.0028514422633094403,0.00014295453571726768,1.3032730342950936
3.0,0.0,0.7425,0.75,45.0,3.735,2.4899999999999998,8.299999999999999,2.394610521156378,0.17763997853396496,0.021079793181449778,1.2974256887706221
2.4899999999999998,0.0,1.125,0.75,45.0,3.735,3.0,8.299999999999999,2.4394910148444913,0.2446177684772463,0.033128533885914045,1.2971643481993729
0.99,53.6,1.125,0.75,45.0,2.25,2.4899999999999998,8.299999999999999,1.8209258566607558,7.45695159232887e-14,1.0252988270357247e-15,1.295822277596745
3.0,40.0,0.7425,0.495,60.300000000000004,3.735,2.4899999999999998,8.299999999999999,2.522262074023358,0.3805811888497566,0.06570150356161611,1.2842942197931793
2.0100000000000002,40.0,2.25,1.5,60.300000000000004,3.015,0.99,10.0,2.281845843253998,0.06077853095485788,0.005348333585927276,1.2628090089270227
0.99,40.0,2.25,1.0050000000000001,60.300000000000004,3.735,3.0,10.0,2.7161184714743842,0.6580904436910391,0.1849334539122992,1.2609195745700867
0.0,53.6,1.8675,0.495,74.7,3.735,2.0100000000000002,10.0,2.874417884038745,0.8042977588992308,0.31194395456505397,1.2597220852561244
0.0,26.400000000000002,2.25,0.75,45.0,2.25,2.0100000000000002,6.7,1.8277725644436247,9.499764803869468e-12,1.557378204774468e-13,1.25496818191445
2.0100000000000002,40.0,1.125,0.75,60.300000000000004,3.015,2.4899999999999998,6.7,2.1047899784467847,0.002100947922384388,0.00010599999630571031,1.2446023353158693
2.0100000000000002,40.0,1.5075,1.0050000000000001,60.300000000000004,2.25,3.0,10.0,2.0311547737226294,0.00016658064891388613,6.4810590016312525e-06,1.242375020766207
3.0,80.0,1.5075,0.0,45.0,2.25,0.0,10.0,1.792352546798492,3.7638371822622775e-13,5.686168122034265e-15,1.2313084397789114
