Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
7.56,0.0,0.0,0.75,0.0,9.0,2.4899999999999998,8.2,6.816569550750046,0.33763607210409796,0.15884298213021067,11.070995683299062
7.56,26.400000000000002,1.8,0.0,30.0,9.0,2.4899999999999998,10.0,7.577187652050952,0.7889062212397175,0.5326295301650826,11.04166169157838
9.0,40.0,0.5940000000000001,0.495,30.0,9.0,2.0100000000000002,10.0,7.632920730420665,0.8243374949712202,0.5720081469157098,10.97513483751499
9.0,40.0,1.494,1.0050000000000001,0.0,8.280000000000001,0.0,10.0,7.507254476459593,0.7522361312477159,0.4787204755869476,10.97170135901272
9.0,53.6,0.9,0.495,30.0,9.0,3.0,10.0,7.175270504530545,0.5387976614328457,0.2843494737781192,10.969911144419637
4.68,40.0,1.8,1.2449999999999999,0.0,9.0,2.0100000000000002,10.0,7.564327682037629,0.7900407720384184,0.5170626653651815,10.916249261493284
4.68,26.400000000000002,0.0,0.75,0.0,9.0,3.0,10.0,6.607825330884225,0.23985437369915447,0.10109060663589735,10.901395304586702
7.56,0.0,0.5940000000000001,0.495,19.8,9.0,3.0,8.2,7.185910716584658,0.5467078961635742,0.2834500626296433,10.879594132966261
9.0,40.0,1.494,1.0050000000000001,0.0,8.280000000000001,2.0100000000000002,10.0,7.479307947393636,0.7408418667596617,0.4541956712354892,10.875138459801814
9.0,66.39999999999999,1.494,0.75,0.0,8.280000000000001,0.99,10.0,7.468292678551961,0.7421423258864288,0.4394144634707029,10.74142518601123
4.68,0.0,1.2060000000000002,0.0,19.8,9.0,0.0,10.0,7.5478005862401005,0.7952278531150085,0.49471510009086295,10.70576673955448
6.12,0.0,0.0,1.0050000000000001,0.0,9.0,0.99,10.0,7.179283907516947,0.544597470944875,0.26798862401617835,10.693638874936225
9.0,0.0,0.9,0.495,30.0,8.280000000000001,2.4899999999999998,10.0,7.466088869805844,0.7491029493653092,0.43106413224759843,10.613742535688916
9.0,80.0,0.0,1.5,0.0,8.280000000000001,2.4899999999999998,10.0,5.88769025631882,0.05855558297725296,0.019645749431665943,10.58124137673257
