Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
27.0,53.6,0.0,1.0050000000000001,24.0,10.799999999999999,0.0,10.0,6.711598029384554,0.9999064772219287,5.623514148691831,12.732217542062529
27.0,80.0,0.0,0.495,12.0,12.6,0.99,10.0,4.758554804822202,0.9686412564432196,3.6945353592863723,12.646525689340972
27.0,66.39999999999999,0.0,1.5,12.0,16.2,0.99,8.2,3.9573272483055213,0.9068879976231164,2.9635346306041694,12.639450170520558
27.0,66.39999999999999,0.0,0.75,12.0,10.799999999999999,0.99,10.0,5.6112950265532096,0.9953852391088566,4.525693223544736,12.56045277363618
27.0,0.0,0.0,1.0050000000000001,12.0,12.6,0.99,10.0,6.925048950203394,0.9999914501530616,5.836933947288887,12.354678255782302
27.0,53.6,0.0,0.495,12.0,18.0,0.0,8.2,5.378648293559267,0.9947466412720802,4.293328550840864,12.085633157548694
27.0,26.400000000000002,0.0,1.0050000000000001,12.0,16.2,2.0100000000000002,10.0,5.877105773505507,0.9992409549251713,4.789299477570537,11.917300846144913
27.0,66.39999999999999,0.0,0.495,24.0,18.0,0.0,10.0,4.574340810755455,0.9715650425820014,3.506235135072982,11.89674989086485
27.0,80.0,0.0,1.5,40.2,18.0,0.0,8.2,2.121498252394824,0.6672306801263304,1.5581218089782727,11.683263031473068
22.68,0.0,0.0,0.495,12.0,9.0,0.0,10.0,7.654578611633971,0.9999999999648984,6.566461143754115,11.682544800407669
27.0,40.0,0.0,1.5,30.0,12.6,0.0,10.0,6.452464412639597,0.9999823645889973,5.364351962534691,11.639446694899533
22.68,40.0,0.0,0.495,12.0,10.799999999999999,1.5,10.0,7.445220108024442,0.999999999985405,6.357102640141406,11.2682961347761
27.0,80.0,0.0,1.2449999999999999,12.0,9.0,0.99,6.4,2.947569044161993,0.8144474419080261,2.0703955672088448,11.263093493936035
27.0,0.0,0.0,1.0050000000000001,30.0,14.4,0.0,10.0,6.993252480100435,0.9999999933116993,5.905135013372886,11.150532097339408
22.68,26.400000000000002,0.0,1.5,12.0,18.0,3.0,10.0,3.2230835371770894,0.8601155304208428,2.2757237076072965,11.123830580987292
22.68,66.39999999999999,0.0,1.2449999999999999,12.0,16.2,0.0,4.6000000000000005,2.7002593867766564,0.7791540410196316,1.8779340335613002,11.081814851953688
22.68,0.0,0.0,1.2449999999999999,12.0,16.2,1.5,10.0,5.6502910818386685,0.9996113846649923,4.562310536593807,11.07979170275301
27.0,66.39999999999999,0.0,1.0050000000000001,30.0,16.2,0.0,6.4,3.1613018576055065,0.853084765197778,2.222717547021568,11.060585505287182
27.0,0.0,0.0,0.495,12.0,12.6,3.0,8.2,5.568780882264486,0.9994987580647451,4.480843571518653,11.016279607291539
22.68,0.0,0.0,0.0,24.0,9.0,0.99,10.0,7.316125735348514,0.9999999999998397,6.228008267463484,10.735152313432042
22.68,0.0,0.0,0.75,12.0,18.0,1.5,10.0,6.3967410090518015,0.9999995116406856,5.308623641745432,10.733210829055242
27.0,53.6,0.0,1.5,60.0,9.0,0.0,4.6000000000000005,1.663573311040519,0.6005649941748291,1.2177804220619601,10.696669830734153
18.360000000000003,80.0,0.0,1.0050000000000001,12.0,10.799999999999999,0.0,8.2,4.416320892082334,0.983300249870579,3.3375869672504783,10.674154539926402
27.0,40.0,0.0,0.0,40.2,10.799999999999999,0.0,8.2,5.403667739295989,0.9995392053766258,4.315707775172959,10.613034404714451
27.0,80.0,0.0,1.0050000000000001,60.0,10.799999999999999,0.99,10.0,1.564457381049651,0.5835159755591358,1.1592028496234974,10.598630310753457
27.0,0.0,0.0,1.2449999999999999,24.0,16.2,0.0,2.8000000000000003,2.0093370201452543,0.6663409367931115,1.393417451944658,10.58177809903203
27.0,0.0,0.0,1.2449999999999999,40.2,12.6,0.0,8.2,5.362464940462301,0.9995138554825121,4.274513387228041,10.545566366374857
27.0,80.0,0.0,1.5,12.0,14.4,3.0,1.0,-0.6562339885205777,0.2664056429709954,0.453792541513765,10.530120351852554
27.0,26.400000000000002,0.0,1.2449999999999999,24.0,9.0,1.5,10.0,5.038075392104781,0.9980805516948865,3.9507209823003375,10.502655360879356
