Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA
27.0,53.6,0.0,1.0050000000000001,24.0,10.799999999999999,0.0,10.0
27.0,80.0,0.0,0.495,12.0,12.6,0.99,10.0
27.0,66.39999999999999,0.0,1.5,12.0,16.2,0.99,8.2
27.0,66.39999999999999,0.0,0.75,12.0,10.799999999999999,0.99,10.0
27.0,0.0,0.0,1.0050000000000001,12.0,12.6,0.99,10.0
27.0,53.6,0.0,0.495,12.0,18.0,0.0,8.2
27.0,26.400000000000002,0.0,1.0050000000000001,12.0,16.2,2.0100000000000002,10.0
27.0,66.39999999999999,0.0,0.495,24.0,18.0,0.0,10.0
27.0,80.0,0.0,1.5,40.2,18.0,0.0,8.2
22.68,0.0,0.0,0.495,12.0,9.0,0.0,10.0
27.0,40.0,0.0,1.5,30.0,12.6,0.0,10.0
22.68,40.0,0.0,0.495,12.0,10.799999999999999,1.5,10.0
27.0,80.0,0.0,1.2449999999999999,12.0,9.0,0.99,6.4
27.0,0.0,0.0,1.0050000000000001,30.0,14.4,0.0,10.0
22.68,26.400000000000002,0.0,1.5,12.0,18.0,3.0,10.0
22.68,66.39999999999999,0.0,1.2449999999999999,12.0,16.2,0.0,4.6000000000000005
22.68,0.0,0.0,1.2449999999999999,12.0,16.2,1.5,10.0
27.0,66.39999999999999,0.0,1.0050000000000001,30.0,16.2,0.0,6.4
27.0,0.0,0.0,0.495,12.0,12.6,3.0,8.2
22.68,0.0,0.0,0.0,24.0,9.0,0.99,10.0
22.68,0.0,0.0,0.75,12.0,18.0,1.5,10.0
27.0,53.6,0.0,1.5,60.0,9.0,0.0,4.6000000000000005
18.360000000000003,80.0,0.0,1.0050000000000001,12.0,10.799999999999999,0.0,8.2
27.0,40.0,0.0,0.0,40.2,10.799999999999999,0.0,8.2
27.0,80.0,0.0,1.0050000000000001,60.0,10.799999999999999,0.99,10.0
27.0,0.0,0.0,1.2449999999999999,24.0,16.2,0.0,2.8000000000000003
27.0,0.0,0.0,1.2449999999999999,40.2,12.6,0.0,8.2
27.0,80.0,0.0,1.5,12.0,14.4,3.0,1.0
27.0,26.400000000000002,0.0,1.2449999999999999,24.0,9.0,1.5,10.0
27.0,53.6,0.0,0.0,24.0,16.2,0.0,6.4
22.68,53.6,0.0,1.2449999999999999,12.0,16.2,0.0,2.8000000000000003
27.0,80.0,0.0,1.0050000000000001,24.0,16.2,2.0100000000000002,8.2
27.0,80.0,0.0,1.2449999999999999,12.0,18.0,2.0100000000000002,1.0
27.0,80.0,0.0,1.5,40.2,12.6,1.5,6.4
22.68,66.39999999999999,0.0,0.75,12.0,9.0,0.99,8.2
18.360000000000003,0.0,0.0,0.495,12.0,10.799999999999999,2.4899999999999998,10.0
18.360000000000003,0.0,0.0,0.75,12.0,14.4,2.4899999999999998,10.0
18.360000000000003,66.39999999999999,0.0,0.0,24.0,10.799999999999999,0.0,10.0
27.0,53.6,0.0,1.2449999999999999,40.2,10.799999999999999,0.0,1.0
27.0,66.39999999999999,0.0,1.0050000000000001,24.0,14.4,2.0100000000000002,8.2
22.68,0.0,0.0,1.2449999999999999,12.0,16.2,3.0,8.2
22.68,26.400000000000002,0.0,1.0050000000000001,24.0,14.4,0.0,8.2
27.0,53.6,0.0,0.495,12.0,14.4,3.0,8.2
27.0,80.0,0.0,1.5,30.0,14.4,2.0100000000000002,4.6000000000000005
27.0,80.0,0.0,1.5,40.2,18.0,0.99,2.8000000000000003
27.0,66.39999999999999,0.0,1.0050000000000001,40.2,12.6,0.0,2.8000000000000003
27.0,40.0,0.0,1.5,30.0,12.6,0.99,4.6000000000000005
27.0,0.0,0.0,1.2449999999999999,49.8,14.4,0.0,1.0
18.360000000000003,53.6,0.0,0.495,30.0,9.0,0.0,10.0
27.0,0.0,0.0,0.0,60.0,10.799999999999999,2.0100000000000002,10.0
