Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,predict_yield,pi,ei,ucb
6.0,26.400000000000002,0.0,1.2449999999999999,30.0,6.75,0.0,10.0,3.4231397469481784,0.5662381063365765,0.28141662367250975,6.3067053745859525
5.04,26.400000000000002,0.0,0.75,36.0,6.75,0.99,10.0,3.634268620228966,0.7407566510867757,0.3818329703963762,6.013771292027153
5.04,26.400000000000002,0.0,0.495,42.0,6.75,0.99,10.0,3.589104225182138,0.7114414347379547,0.3470976899696817,5.939566172138704
6.0,80.0,1.125,1.0050000000000001,36.0,6.75,0.0,10.0,3.5722832177101402,0.7060196649818457,0.3292320292537493,5.836100679945371
6.0,26.400000000000002,0.0,0.0,30.0,6.75,2.4899999999999998,9.0,3.027451920020173,0.29531421463350416,0.10374250329437253,5.810540840219536
5.04,0.0,1.8675,0.75,36.0,6.75,1.5,10.0,3.6880454073859026,0.8083871759802498,0.4048941792677253,5.758267095771394
6.0,0.0,1.5075,1.5,42.0,6.75,0.0,9.0,3.2620282631049617,0.447023537585277,0.16366395781752066,5.697853434593592
6.0,66.39999999999999,1.125,0.0,36.0,6.75,1.5,10.0,3.418363508696925,0.5796188585619302,0.23093206927799492,5.693384231723469
5.04,0.0,0.7425,0.75,30.0,6.75,0.0,8.0,3.3645292742639765,0.5322351756763112,0.20487199005726128,5.688466463483124
5.04,66.39999999999999,0.0,1.5,30.0,6.75,0.99,9.0,2.99785559685679,0.27008294866973503,0.08877449813820422,5.683361117885852
5.04,26.400000000000002,0.7425,1.2449999999999999,42.0,6.75,2.0100000000000002,10.0,3.453035222945682,0.6122948436491782,0.24652436751533152,5.662634403254456
6.0,26.400000000000002,1.5075,0.0,30.0,6.75,3.0,9.0,3.0691306714005337,0.3079648084557497,0.10139285530648198,5.638206875078254
6.0,66.39999999999999,1.5075,0.0,30.0,6.75,0.0,9.0,3.1772656359507914,0.37956173925185466,0.12896644512097963,5.617134056320399
4.08,40.0,0.0,1.5,36.0,6.75,0.99,9.0,3.030216833561763,0.28148631774720434,0.08959515344577713,5.594477506468948
6.0,0.0,2.25,1.0050000000000001,48.0,6.75,2.0100000000000002,10.0,3.2732239070683304,0.45390366485854405,0.15938552202907386,5.591315078689126
6.0,0.0,1.8675,0.75,30.0,6.75,2.0100000000000002,8.0,3.292694341487543,0.47018702443621085,0.16596173948719517,5.580324904511405
3.12,0.0,0.0,0.0,48.0,6.75,1.5,10.0,3.183374195726341,0.38231717309226426,0.12801100381554617,5.580171049822132
5.04,0.0,1.5075,1.5,30.0,6.75,2.4899999999999998,9.0,3.1271955987952187,0.3415700382967707,0.11138337917929965,5.5732643658963035
3.12,40.0,0.7425,1.5,36.0,6.75,0.0,10.0,3.2442109816623756,0.42937823338968717,0.1469978994502743,5.56768556280177
6.0,53.6,0.0,1.0050000000000001,48.0,6.75,2.0100000000000002,9.0,3.1083079611278457,0.3277346696644171,0.10530466385556342,5.557695072953605
4.08,40.0,0.7425,1.5,30.0,6.75,2.4899999999999998,10.0,3.0894548456038704,0.31417721379651153,0.09947525160885545,5.541930827235695
3.12,53.6,0.0,1.2449999999999999,30.0,6.75,2.0100000000000002,10.0,3.0866164571580095,0.3123142764828381,0.09877404331236837,5.541743531997312
3.12,0.0,1.8675,0.0,30.0,6.75,3.0,10.0,3.0557264891746376,0.29142347913422273,0.09037620779159801,5.524116490143953
6.0,80.0,2.25,1.5,42.0,6.75,1.5,10.0,3.0303390365096297,0.2711604233598272,0.08086748141248125,5.463632919928019
6.0,80.0,1.8675,0.75,36.0,6.75,0.99,9.0,3.3224600595142926,0.4958010448262019,0.16699760533418517,5.442824885022603
5.04,40.0,0.0,1.5,48.0,6.75,3.0,9.0,2.5911734133191184,0.09704624097080355,0.025874228515194178,5.423608095977308
6.0,66.39999999999999,0.7425,0.0,30.0,6.21,0.0,9.0,3.231705105116088,0.41357414645086477,0.13048641108159909,5.411534891757671
3.12,66.39999999999999,0.0,0.0,36.0,6.75,2.0100000000000002,10.0,2.9727875465071736,0.2325449754830562,0.06576010374454243,5.3962529419142635
6.0,80.0,0.0,1.0050000000000001,48.0,6.75,0.99,8.0,2.936610318771393,0.21115838770797785,0.058224450582522055,5.368253062337493
6.0,0.0,1.125,1.0050000000000001,42.0,6.75,1.5,7.0,3.1320015402159638,0.3312996201290058,0.09746126531283476,5.365181309617865
5.04,40.0,1.125,0.495,48.0,6.75,0.0,9.0,3.285428607339011,0.4601198549378366,0.14540752349055117,5.357000563936117
4.08,40.0,0.0,0.75,30.0,6.21,0.99,9.0,3.3738339542185156,0.5471113554335175,0.18266398645206447,5.354862048420317
5.04,40.0,1.5075,0.495,48.0,6.75,2.0100000000000002,10.0,3.365799479928412,0.5389492644136942,0.1787930531244955,5.353030196511476
4.08,80.0,0.7425,0.75,36.0,6.21,0.0,10.0,3.5293245022775905,0.71315708455513,0.2668488731570782,5.32751372492845
