Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3
0.0,240.0,0.0,1.5,0.0,0.0,0.0,8.2,20186.3333333333,23880.0,48138.3333333333,23880.0,15184.554727065888,-0.6773299039504911,-0.23200578708354788,2.692681750592785,,,,-0.23200578708354788,1.4947719749498802,887.333333333333,1820.0,2396.66666666666,1820.0,761.6318737494557,-0.010851308637403561,0.0076508007882243115,0.019090632563183513,,,,0.0076508007882243115,0.01233656555437573,plate 3,P3_Buffer 1,A1,O7,O17
1.53,0.0,0.0,0.75,0.0,0.0,3.0,10.0,19976.0,23742.3333333333,40028.3333333333,23742.3333333333,10657.666527660478,-0.7026885825664095,-0.24860346421251558,1.714905758951902,,,,-0.24860346421251558,1.0491437865815239,1062.0,1471.33333333333,12317.0,1471.33333333333,6383.194918719808,-0.007386296007300267,0.0007340007670638646,0.21588880219009962,,,,0.0007340007670638646,0.10339207860810885,plate 3,P3_Buffer 2,B1,P7,P17
1.53,240.0,0.3825,0.0,0.0,0.0,3.0,4.6,23726.0,46960.0,22342.3333333333,23726.0,13830.900196995839,-0.2505726801430665,2.550616887031321,-0.41739340111723033,,,,-0.2505726801430665,1.3615178300847681,1756.0,4500.66666666666,1416.33333333333,1756.0,1691.2362670872162,0.006381177839789518,0.060829486992977314,-0.0003570814542472855,,,,0.006381177839789518,0.027393873334301287,plate 3,P3_Buffer 3,A8,A18,C1
0.0,40.8,0.3825,1.005,45.0,0.0,3.0,1.0,26628.3333333333,41941.3333333333,22814.6666666666,26628.3333333333,10123.087475520366,0.09934493429248925,1.9455451513081299,-0.36044689145200093,,,,0.09934493429248925,0.9965196695167019,10798.0,40942.3333333333,19183.6666666666,19183.6666666666,15558.705026804473,0.1857550950233426,0.7837541163556525,0.35210876436591465,,,,0.35210876436591465,0.252012804505486,plate 3,P3_Buffer 4,B8,B18,D1
9.0,240.0,2.25,0.75,7.65,0.0,0.0,10.0,25008.0,42933.0,24406.0,25008.0,10527.09011708997,-0.09600932363460628,2.065104689948974,-0.16858899650363363,,,,-0.09600932363460628,1.0362898068225757,2589.0,55347.3333333333,3209.66666666666,3209.66666666666,30282.457101614295,0.02290611402801112,1.0695184690463273,0.035218811580019244,,,,0.035218811580019244,0.49050142208797304,plate 3,P3_Buffer 5,C8,C18,E1
0.0,240.0,0.0,0.75,7.65,2.25,3.0,1.0,26367.0,44114.3333333333,23288.6666666666,26367.0,11240.939823302642,0.06783747940361326,2.2075312462323766,-0.3032994413856903,,,,0.06783747940361326,1.1065613791111555,21691.6666666666,22997.3333333333,26538.0,22997.3333333333,2507.5895685786795,0.4018621136577031,0.4277637443296781,0.4980029889040245,,,,0.4277637443296781,0.04061679160556764,plate 3,P3_Buffer 6,D8,D18,F1
9.0,40.8,2.25,1.5,0.0,2.25,2.01,1.0,24489.3333333333,43181.0,21521.3333333333,24489.3333333333,11742.576285245725,-0.15854197644978565,2.0950046216292373,-0.5163766426877809,,,,-0.15854197644978565,1.155942618034743,1900.33333333333,39501.3333333333,2092.33333333333,2092.33333333333,21653.7346509403,0.009244442093290835,0.7551677621573003,0.013053310938595209,,,,0.013053310938595209,0.35073731316325857,plate 3,P3_Buffer 7,E8,E18,G1
0.0,240.0,0.3825,1.5,0.0,0.0,0.0,6.4,25906.6666666666,41051.0,25040.3333333333,25906.6666666666,9004.099183766893,0.012337740626126246,1.8382027890527786,-0.09211107985371576,,,,0.012337740626126246,0.8863661372679935,1092.0,29328.6666666666,1015.0,1092.0,16324.720485384263,-0.006791160250221457,0.5533638395513986,-0.008318675360057067,,,,-0.006791160250221457,0.2644203733666908,plate 3,P3_Buffer 8,F8,F18,H1
1.53,0.0,1.5075,1.005,0.0,0.0,3.0,1.0,24041.0,43150.0,21394.3333333333,24041.0,11870.606257724423,-0.21259494433950568,2.0912671301692045,-0.5316883012498514,,,,-0.21259494433950568,1.1685459256887794,1683.0,2101.66666666666,1284.33333333333,1683.0,408.7074476661472,0.004933014164231083,0.01323846428524189,-0.0029756787853940456,,,,0.004933014164231083,0.0066200567419446394,plate 3,P3_Buffer 9,G8,G18,I1
4.5,79.2,0.0,1.5,45.0,0.3825,3.0,1.0,27467.6666666666,39891.6666666666,22392.6666666666,27467.6666666666,9003.02173347001,0.2005385202748832,1.6984286460635805,-0.41132500100470776,,,,0.2005385202748832,0.886260072748017,19228.0,46893.3333333333,24655.6666666666,24655.6666666666,14659.149888190797,0.35298824276248797,0.9018092127015189,0.4606615264570894,,,,0.4606615264570894,0.2374422208419487,plate 3,P3_Buffer 10,H8,H18,J1
9.0,0.0,0.0,1.5,14.85,0.0,0.99,1.0,22539.3333333333,35335.6666666666,20475.0,22539.3333333333,8050.331594274689,-0.39364224570992407,1.14913796567938,-0.6425270264839434,,,,-0.39364224570992407,0.7924769789084629,1926.0,35512.3333333333,1758.0,1926.0,19439.757498296935,0.009753613796569437,0.676034544324388,0.006420853556928106,,,,0.009753613796569437,0.3148763214941261,plate 3,P3_Buffer 11,I8,I18,K1
0.0,240.0,0.3825,1.5,30.15,0.0,2.01,2.8,28705.6666666666,43615.3333333333,21915.3333333333,28705.6666666666,11100.276174408826,0.34979705019490953,2.1473696901499104,-0.46887433187316835,,,,0.34979705019490953,1.0927144086836407,14376.3333333333,31685.3333333333,17253.0,17253.0,9275.136455020978,0.25674156560379763,0.6001150595797012,0.313808472088133,,,,0.313808472088133,0.150234428005027,plate 3,P3_Buffer 12,J8,J18,L1
1.53,160.8,2.25,0.495,45.0,0.0,3.0,1.0,27984.3333333333,37917.0,22819.3333333333,27984.3333333333,7673.272127857087,0.26283004460877013,1.46035445886751,-0.3598842583289811,,,,0.26283004460877013,0.755359135585342,750.0,24631.6666666666,31970.0,24631.6666666666,16324.182158630421,-0.013575707880919882,0.46018541785142636,0.6057622366524276,,,,0.46018541785142636,0.26441165379557335,plate 3,P3_Buffer 13,K8,K18,M1
1.53,240.0,1.5075,1.5,0.0,0.0,2.01,1.0,26520.3333333333,36624.3333333333,22733.3333333333,26520.3333333333,7180.901359393076,0.08632399630269698,1.3045050837921526,-0.37025278302455644,,,,0.08632399630269698,0.706890014217385,1578.66666666666,30935.0,2309.33333333333,2309.33333333333,16741.94817749051,0.0028632642535013127,0.5852300530332086,0.01735812624813193,,,,0.01735812624813193,0.2711784371402439,plate 3,P3_Buffer 14,L8,L18,N1
