Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_4,MG_fluo_5,MG_fluo_6,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_4,GFP_fluo_5,GFP_fluo_6,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3,well_4,well_5,well_6
0.99,26.4,0.0,0.0,90.0,4.5,2.01,10.0,49913.6666666666,41556.0,52422.0,49924.0,48731.0,51470.0,49918.8333333333,3872.595963471567,2.655669599217983,1.7803379416282679,2.9183773216031317,2.6567518503002407,2.5318042172880917,2.8186705767350966,2.656210724759112,0.370253485074855,440.333333333333,243.333333333333,363.666666666666,468.666666666666,284.333333333333,498.5,401.9999999999995,103.5197467296118,-0.008485328098883794,-0.011814122593699804,-0.009780798037644683,-0.008006567469341735,-0.01112132780036246,-0.0075024606888239006,-0.009133063068264238,0.001596810339850487,plate 6,P6_Buffer 1,A1,G20,I16,K12,M8,O4
2.49,0.0,2.25,0.0,74.7,4.5,2.49,10.0,52671.6666666666,53632.0,55507.3333333333,55755.6666666666,54306.0,44279.3333333333,53969.0,4279.582342030845,2.94452590420332,3.04510543220221,3.241516547968161,3.2675254852674174,3.1156961318251675,2.0655634687892754,3.0804007820136885,0.40916488364597875,636.0,508.666666666666,472.666666666666,491.0,345.0,493.0,492.0,92.72885603058383,-0.0051790635160462286,-0.0073306701099882295,-0.007938977733406384,-0.007629191443702683,-0.010096216805342974,-0.007595396575735007,-0.007612294009718845,0.0014303589487993597,plate 6,P6_Buffer 2,B1,H20,J16,L12,N8,P4
2.01,26.4,1.8675,0.495,90.0,4.5,0.0,10.0,42709.0,38786.3333333333,41955.6666666666,47801.0,45396.6666666666,38632.0,42332.3333333333,3621.3498506414335,1.901096215612348,1.4902597402597402,1.822196620583714,2.4344016198854943,2.182586230973324,1.4740957966764454,1.861646418098031,0.34623219554082474,589.666666666666,724.666666666666,359.666666666666,357.0,333.0,318.5,358.33333333333303,168.9306810499499,-0.005961977957297384,-0.0036808243694793057,-0.009848387773580033,-0.009893447597536922,-0.010298986013149027,-0.01054399880591467,-0.009870917685558478,0.002605785531171347,plate 6,P6_Buffer 3,A5,C1,I20,K16,M12,O8
0.99,80.0,0.0,0.495,90.0,4.5,2.01,10.0,44861.3333333333,40453.3333333333,44477.6666666666,50071.3333333333,45343.6666666666,34651.6666666666,44669.49999999995,5229.699599403399,2.126518642647675,1.6648512777545035,2.0863357073034456,2.6721826560536237,2.177035330261133,1.0572196620583683,2.1064271749755603,0.5000042660887049,370.666666666666,668.666666666666,433.666666666666,325.0,271.5,262.5,347.83333333333303,151.2934235186709,-0.00966251599975782,-0.004627080672574212,-0.00859797765877605,-0.010434165485019726,-0.011338178203155039,-0.011490255109009577,-0.010048340742388773,0.002333727724981834,plate 6,P6_Buffer 4,B5,D1,J20,L16,N12,P8
3.0,80.0,0.0,0.0,90.0,4.5,2.49,8.3,40558.6666666666,41614.6666666666,39124.3333333333,40933.0,44692.3333333333,39585.3333333333,40745.8333333333,1984.275422377612,1.6758832565284143,1.786482334869428,1.5256598240469208,1.7150886747660976,2.1088186007540846,1.5739421868454126,1.695485965647256,0.1897137985510594,437.333333333333,703.0,785.666666666666,442.0,427.0,380.5,439.6666666666665,170.0478935803412,-0.008536020400835308,-0.004046935439129109,-0.0026500808964652115,-0.008457165708910726,-0.00871062721866829,-0.009496357898916738,-0.008496593054873016,0.002623018731374194,plate 6,P6_Buffer 5,A9,C5,E1,K20,M16,O12
3.0,40.0,2.25,1.005,90.0,4.5,0.99,10.0,44853.0,51123.3333333333,49657.6666666666,45640.0,46722.0,42508.0,46181.0,3175.110209810725,2.1256458595168306,2.782362798491831,2.628857701438343,2.208071498394083,2.321393660103341,1.880044686496303,2.2647325792487116,0.30356784745117565,433.333333333333,601.333333333333,750.666666666666,466.333333333333,397.0,367.5,449.833333333333,146.15183948614919,-0.008603610136770658,-0.005764841227485938,-0.003241491085899528,-0.008045994815304016,-0.009217550238183419,-0.009716024540706629,-0.008324802476037337,0.0022544178850168544,plate 6,P6_Buffer 6,B9,D5,F1,L20,N16,P12
1.5,80.0,1.125,1.005,90.0,4.5,0.0,10.0,42625.6666666666,47488.0,47540.3333333333,39660.0,43949.0,44934.0,44441.5,3016.454377429089,1.8923683843038646,2.401619885490857,2.4071009635525766,1.5817623236978111,2.030966345482478,2.13412931154867,2.0825478285155743,0.2883989851632305,1286.0,728.333333333333,721.333333333333,573.666666666666,890.666666666666,816.0,772.1666666666665,244.72342665865816,0.005804268573448221,-0.003618867111538561,-0.0037371491494254242,-0.006232336901038786,-0.0008758503281622619,-0.002137525398955458,-0.0028781962552470097,0.003774901991528986,plate 6,P6_Buffer 7,A13,C9,E5,G1,M20,O16
3.0,53.6,1.125,0.0,74.7,4.5,3.0,10.0,46842.6666666666,55339.3333333333,55644.6666666666,52657.6666666666,48673.0,40934.6666666666,50665.3333333333,5680.536504396202,2.334031559838008,3.2239212400502724,3.2559000139645264,2.943059628543496,2.525729646697392,1.71526323139226,2.734394637620444,0.5431081521766066,1121.0,651.666666666666,713.0,1013.66666666666,677.5,615.5,695.25,213.2148803090081,0.003016191966115014,-0.004914337050299452,-0.0038779610992907324,0.0012025340518496649,-0.004477820005716968,-0.0055254609127149,-0.00417789055250385,0.0032888771103418736,plate 6,P6_Buffer 8,B13,D9,F5,H1,N20,P16
0.0,40.0,2.25,0.0,60.3,4.5,0.99,10.0,51023.0,44754.0,51754.0,53215.0,54466.0,55889.6666666666,52484.5,3900.562736703879,2.7718544895964286,2.115277195922361,2.848415025834384,3.001431364334594,3.1324535679374423,3.2815598380114475,2.9249231950844887,0.3729273491580782,780.333333333333,876.333333333333,766.666666666666,579.666666666666,720.666666666666,1027.5,773.4999999999995,150.68113561302127,-0.002740200544379005,-0.001118046881930594,-0.002971132142158126,-0.00613095229713576,-0.0037484141054146564,0.0014362818886261971,-0.0028556663432685652,0.002324283076114402,plate 6,P6_Buffer 9,A17,C13,E9,G5,I1,O20
2.49,40.0,0.7425,0.495,74.7,4.5,0.0,10.0,51486.0,52315.0,60100.6666666666,57239.6666666666,55826.6666666666,48903.0,54070.8333333333,4137.769322553686,2.820346320346324,2.907170786203048,3.7225946096913805,3.422950705208766,3.274961597542239,2.5498184611087873,3.0910661918726436,0.39560633914877874,1114.0,1373.33333333333,1401.66666666666,1541.33333333333,516.333333333333,1054.0,1243.6666666666652,367.889153998359,0.0028979099282281508,0.007279977808036651,0.007758738437578657,0.01011874671732137,-0.007201123116112135,0.001884063889197894,0.0050889438681324005,0.005674755045120183,plate 6,P6_Buffer 10,B17,D13,F9,H5,J1,P20
1.5,0.0,2.25,1.5,60.3,4.5,0.99,10.0,51664.3333333333,55502.0,46170.6666666666,58950.6666666666,52671.0,60637.0,54086.5,5270.873836120196,2.83902387934646,3.2409579667644217,2.2636503281664537,3.602150537634405,2.9444560815528593,3.778766931992742,3.0927070241586403,0.5039408772878822,969.666666666666,1060.0,890.333333333333,728.666666666666,1056.66666666666,802.0,929.9999999999995,135.74267595002593,0.0004590469565609097,0.00198544849310092,-0.0008814828061568673,-0.0036132346335439555,0.0019291237131546803,-0.0023740894747291846,-0.00021121792479797882,0.002093854702737335,plate 6,P6_Buffer 11,A21,C17,E13,G9,I5,K1
1.5,26.4,0.0,1.245,74.7,4.5,2.49,8.3,53988.0,51166.3333333333,49990.0,53380.6666666666,56209.6666666666,47723.6666666666,52273.49999999995,3051.7795858712866,3.0823907275520215,2.7868663594470044,2.6636642926965544,3.0187822929758377,3.315074710235997,2.426302192431221,2.9028243262114213,0.2917763789476816,982.666666666666,512.0,615.666666666666,461.666666666666,738.666666666666,450.666666666666,563.833333333333,205.30472383661703,0.0006787135983507987,-0.007274345330042093,-0.005522644673717605,-0.008124849507228598,-0.003444260293705579,-0.008310721281050811,-0.006398495001879849,0.0031668615524991666,plate 6,P6_Buffer 12,B21,D17,F13,H9,J5,L1
0.0,40.0,0.7425,0.495,74.7,4.5,2.49,10.0,56597.6666666666,51375.3333333333,50768.6666666666,53191.3333333333,52983.0,45523.3333333333,52179.16666666665,3659.82943541038,3.3557114928082634,2.8087557603686637,2.7452171484429515,2.998952660242983,2.9771330819717954,2.195852534562212,2.8929444211702293,0.3499111748351594,2150.0,738.666666666666,739.333333333333,819.0,1269.0,348.666666666666,779.1666666666665,630.4605253892383,0.02040365153548392,-0.003444260293705579,-0.003432995337716347,-0.0020868330970039454,0.005517012195722981,-0.010034259547402247,-0.002759914217360146,0.009724964730049256,plate 6,P6_Buffer 13,C21,E17,G13,I9,K5,M1
