Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3
6.03,240.0,2.25,1.005,0.0,1.125,0.99,6.4,42853.0,44841.0,42366.0,42853.0,1311.1660205074465,0.012307933521480088,0.16815616180620885,-0.025870178739416744,,,,0.012307933521480088,0.08392619730110872,11564.6666666666,31416.0,25677.0,25677.0,10215.751793368145,0.1964032067794966,0.5548426703902545,0.4512181910104245,,,,0.4512181910104245,0.15060897051227898,plate 0,P0_Buffer 1,A1,E7,I13
9.0,0.0,0.7425,0.0,0.0,0.7425,0.99,8.2,42762.3333333333,40372.3333333333,42771.3333333333,42762.3333333333,1382.4725434283798,0.005200167241556866,-0.1821626424166432,0.005905717570813686,,,,0.005200167241556866,0.08849044409969657,4802.66666666666,4405.0,4389.33333333333,4405.0,234.24654628071465,0.0743072441437753,0.06712689890940608,0.06684401858583909,,,,0.06712689890940608,0.003453454223926829,plate 0,P0_Buffer 2,B1,F7,J13
2.97,160.8,1.5075,1.005,7.65,1.125,1.5,6.4,45942.0,45099.3333333333,45132.3333333333,45132.3333333333,477.2728468815182,0.25446848541862654,0.18840806940524454,0.1909950872791862,,,,0.1909950872791862,0.03054967447855141,39456.0,46935.6666666666,47735.6666666666,46935.6666666666,4566.878831243381,0.7000144449526927,0.8350687338998952,0.8495136865926751,,,,0.8350687338998952,0.0673286639241176,plate 0,P0_Buffer 3,C1,G7,K13
4.5,160.8,0.0,0.255,14.85,0.3825,1.5,10.0,42412.6666666666,41726.0,41637.6666666666,41726.0,424.25206518625373,-0.022211769624757075,-0.07604264659767952,-0.08296749242187215,,,,-0.07604264659767952,0.027155876503300636,14126.6666666666,11194.0,9708.33333333333,11194.0,2248.310798009094,0.24266316777812433,0.1897103786985098,0.16288489780195964,,,,0.1897103786985098,0.03314643714225833,plate 0,P0_Buffer 4,D1,H7,L13
9.0,40.8,0.3825,0.255,30.15,0.0,2.01,2.8,41309.3333333333,37791.0,39922.6666666666,39922.6666666666,1772.2639319368805,-0.10870701369290535,-0.3845249294449671,-0.2174140273858107,,,,-0.2174140273858107,0.11344053315522039,17684.3333333333,17567.6666666666,8984.0,17567.6666666666,4989.802011213554,0.30690107614897505,0.30479452054794404,0.14980619688470523,,,,0.30479452054794404,0.07356374343950256,plate 0,P0_Buffer 5,E1,I7,M13
0.0,0.0,1.5075,0.495,0.0,1.125,0.99,1.0,42026.0,37392.0,37980.0,37980.0,2522.889084627648,-0.05252430228911885,-0.4158043273753528,-0.36970837253057387,,,,-0.36970837253057387,0.16148716773740635,15536.0,7653.33333333333,5664.0,7653.33333333333,5220.955609989563,0.26811035943857287,0.1257794255723812,0.0898596432096685,,,,0.1257794255723812,0.07697159890095413,plate 0,P0_Buffer 6,F1,J7,N13
2.97,40.8,0.0,0.495,45.0,2.25,0.0,6.4,50196.0,55534.0,61105.0,55534.0,5454.9146953305635,0.587958607714017,1.0064283474443398,1.4431640012543117,,,,1.0064283474443398,0.34916268406944284,5840.33333333333,3396.0,3057.33333333333,3396.0,1518.4723439230816,0.09304355153236869,0.04890820232563739,0.04279317235236049,,,,0.04890820232563739,0.022386561566431852,plate 0,P0_Buffer 7,G1,K7,O13
1.53,79.2,0.7425,0.495,7.65,1.125,0.99,6.4,46045.0,43661.3333333333,51110.3333333333,46045.0,3804.1001904864743,0.26254311696456567,0.07567680568621037,0.659637294867772,,,,0.26254311696456567,0.2434959861272121,46915.0,32285.3333333333,31075.3333333333,32285.3333333333,8816.521298948648,0.8346955726219997,0.5705395189830748,0.5486915280352451,,,,0.5705395189830748,0.12998036984377864,plate 0,P0_Buffer 8,H1,L7,P13
6.03,240.0,0.7425,1.5,14.85,2.25,0.0,2.8,43778.0,43093.0,46644.0,43778.0,1883.8250980385626,0.0848228284728755,0.03112260896832863,0.30950141110065854,,,,0.0848228284728755,0.12058143239372256,53608.0,77131.0,53995.6666666666,53995.6666666666,13470.495306959403,0.9555456580879698,1.3802814358282978,0.9625454414136781,,,,0.9625454414136781,0.19859306211694397,plate 0,P0_Buffer 9,A14,I1,M7
6.03,40.8,1.5075,0.75,45.0,2.25,2.01,4.6,59077.3333333333,48912.3333333333,56119.6666666666,56119.6666666666,5228.45851867273,1.284206125222115,0.48732622556705074,1.0523413818333802,,,,1.0523413818333802,0.3346674901237635,54522.3333333333,84578.3333333333,46554.3333333333,54522.3333333333,20052.750168825558,0.9720550352697589,1.5147519079375011,0.8281833064496708,,,,0.9720550352697589,0.29563404827702927,plate 0,P0_Buffer 10,B14,J1,N7
4.5,79.2,1.5075,0.255,7.65,0.0,0.99,6.4,42233.3333333333,39869.6666666666,43233.6666666666,42233.3333333333,1727.429829201415,-0.036270513222538464,-0.2215689348803231,0.042150099299670646,,,,-0.036270513222538464,0.11057075488676084,10553.0,12243.0,4713.66666666666,10553.0,3950.6280982105113,0.17813636035341987,0.2086513229169175,0.07270024315670355,,,,0.17813636035341987,0.05824339145892616,plate 0,P0_Buffer 11,C14,K1,O7
6.03,0.0,0.0,0.75,30.15,0.3825,2.01,8.2,42154.0,43681.0,46508.3333333333,43681.0,2209.289537217605,-0.04248980871746629,0.07721856381310756,0.29886589317445117,,,,0.07721856381310756,0.14141402896029884,17039.3333333333,24794.6666666666,3481.0,17039.3333333333,10787.693487385384,0.2952548330404212,0.4352866119363447,0.05044297854924526,,,,0.2952548330404212,0.1590410028747827,plate 0,P0_Buffer 12,D14,L1,P7
