Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_4,MG_fluo_5,MG_fluo_6,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_4,GFP_fluo_5,GFP_fluo_6,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3,well_4,well_5,well_6
14.04,53.6,0.0,0.495,40.2,12.6,0.0,10.0,24950.0,26878.6666666666,26580.0,27975.6666666666,27586.0,24780.3333333333,26729.3333333333,1330.8770653080371,13.853627179892827,15.461044647614106,15.212125523680822,16.375322367329094,16.05056069782237,13.712221115069058,15.336585085647464,1.0125554764103444,499.333333333333,411.666666666666,350.0,359.666666666666,331.333333333333,446.333333333333,385.666666666666,64.7941755498531,0.002773667868381023,0.0016775376664513294,0.0009064955092004152,0.0010273615770937947,0.0006730989643028342,0.0021109883926896896,0.0013524496217725622,0.0007395592877988676,plate 9,P9_Buffer 1,A1,G20,I16,K12,M8,O4
14.04,80.0,0.0,0.0,60.0,10.8,0.0,8.2,18851.0,20831.3333333333,23954.0,23876.0,22381.3333333333,21679.3333333333,22030.3333333333,1940.9960759019268,8.770509757338854,10.420988011008452,13.023526351418692,12.958518455212884,11.712811589457157,11.127740523604905,11.420276056531032,1.476745116116786,691.666666666666,383.666666666666,362.666666666666,400.666666666666,344.666666666666,492.333333333333,392.166666666666,130.88339452720106,0.005178485839914976,0.0013274428491049646,0.001064871736095191,0.0015400004167795433,0.0008398107820868137,0.002686144164044432,0.001433721632942254,0.0014939001726591837,plate 9,P9_Buffer 2,B1,H20,J16,L12,N8,P4
14.04,53.6,0.0,0.0,40.2,18.0,0.99,10.0,19599.0,16206.3333333333,14528.3333333333,17724.0,18988.6666666666,13569.3333333333,16965.16666666665,2425.8150100456924,9.393918813261198,6.56635313983086,5.167849936839294,7.831229000621632,8.885245916026822,4.368586187334578,7.198791070226246,1.8456041787839108,1173.33333333333,569.0,460.0,582.333333333333,589.666666666666,395.333333333333,575.6666666666665,278.13005883871836,0.011200950257361338,0.0036447371163023396,0.002281868005918277,0.0038114489340863194,0.0039031404338675047,0.0014733156896659537,0.0037280930251943293,0.003174570345014384,plate 9,P9_Buffer 3,A5,C1,I20,K16,M12,O8
14.04,53.6,0.0,0.495,40.2,16.2,0.0,10.0,23009.3333333333,19955.6666666666,18882.6666666666,22193.3333333333,21024.0,17291.3333333333,20489.8333333333,2124.959486324046,12.23620849737057,9.691177142065465,8.796901851952265,11.556125890909831,10.581563070867265,7.470629644744955,10.136370106466364,1.6167078245724518,603.666666666666,614.666666666666,612.333333333333,553.666666666666,572.333333333333,681.0,607.9999999999995,43.85755562255154,0.004078187842540687,0.004215725092212474,0.004186550524100281,0.00345301852585075,0.003686415070748332,0.005045116385687799,0.004132369183320484,0.0005005891706401529,plate 9,P9_Buffer 4,B5,D1,J20,L16,N12,P8
9.72,80.0,0.0,0.0,24.0,16.2,0.0,10.0,16363.0,14437.3333333333,13904.0,13137.6666666666,18731.6666666666,15947.6666666666,15192.499999999949,2030.16019802123,6.696924555286994,5.092007391265853,4.647508955670627,4.008820266024642,8.671053232374359,6.350771398567136,5.7213893949164945,1.5445828018840473,710.333333333333,603.333333333333,663.0,704.333333333333,621.0,676.666666666666,669.833333333333,43.49644515061815,0.005411882384812558,0.004074020047096093,0.0048200554316794215,0.0053368620668097656,0.004294913205659875,0.004990935044907995,0.004905495238293709,0.000496467463693912,plate 9,P9_Buffer 5,A9,C5,E1,K20,M16,O12
9.72,53.6,0.0,0.0,49.8,14.4,3.0,10.0,14206.0,17166.3333333333,14709.0,14668.3333333333,15538.0,15041.6666666666,14875.3333333333,1050.2170075574613,4.89920619482644,7.366450323902317,5.318423781897214,5.284530776183048,6.009341037725586,5.595679681099698,5.4570517314984555,0.7990242000116387,973.0,730.666666666666,619.666666666666,1035.33333333333,998.333333333333,771.0,872.0,170.22599357586003,0.00869610519515703,0.005666117906933128,0.004278242023881467,0.009475482943297113,0.009012857648946595,0.006170421155729686,0.0074332631754433585,0.001942955728743786,plate 9,P9_Buffer 6,B9,D5,F1,L20,N16,P12
14.04,66.4,0.0,0.0,30.0,9.0,1.5,10.0,25771.0,22225.0,26083.0,28579.0,24939.3333333333,25842.3333333333,25806.66666666665,2050.29351195998,14.537876959187273,11.582517985523328,14.797908544010495,16.878161222596283,13.844737211180895,14.597328624948107,14.567602792067689,1.5599005933002301,12331.0,7429.0,5340.0,3969.66666666666,6560.0,10160.3333333333,6994.5,3109.0002323004774,0.15070956717444314,0.08941796736616171,0.06329839331485615,0.04616458624210718,0.07855252464209062,0.12356888323921025,0.08398524600412616,0.03548605994373004,plate 9,P9_Buffer 7,A13,C9,E5,G1,M20,O16
14.04,40.0,0.0,0.495,60.0,12.6,0.0,8.2,15546.3333333333,22738.0,9713.0,19708.3333333333,21958.3333333333,20199.3333333333,19953.8333333333,4898.748763904085,6.016286325781733,12.010069918261513,1.1545846864586737,9.485040992558195,11.360268767725671,9.894257364828075,9.689649178693136,3.7270571548255016,2966.33333333333,2982.66666666666,1687.33333333333,571.666666666666,3205.0,4034.0,2974.499999999995,1236.6252418937956,0.03361952195386248,0.03382374393064782,0.017627690832933893,0.0036780794798591276,0.03660366349219583,0.04696897076291498,0.03372163294225515,0.014114813182018354,plate 9,P9_Buffer 8,B13,D9,F5,H1,N20,P16
14.04,66.4,0.0,0.495,24.0,12.6,0.99,10.0,28422.6666666666,27629.0,30825.0,32377.6666666666,31463.3333333333,25694.0,29623.8333333333,2568.2874831872336,16.747867618662365,16.086398384192236,18.750055259496797,20.04410133012342,19.282064324599837,14.473702497548206,17.748961439079583,1.9539998275464079,659.666666666666,2165.0,733.0,786.666666666666,407.0,815.0,759.833333333333,623.5994589359304,0.004778377477233417,0.02360014170504513,0.005695292475045333,0.006366307541625857,0.0016191885302269437,0.0067205701544168295,0.0060308000083355955,0.0071177504429788445,plate 9,P9_Buffer 9,A17,C13,E9,G5,I1,O20
14.04,53.6,0.0,0.0,30.0,14.4,1.5,8.2,24374.6666666666,25453.0,25346.0,28204.3333333333,23106.3333333333,20308.3333333333,24860.3333333333,2640.7169705438982,13.37412449249439,14.2728447669636,14.183667268322305,16.565901071590588,12.317051650344455,9.985101732602855,13.778895880408347,2.0091054988276325,787.333333333333,1043.33333333333,749.666666666666,746.333333333333,549.666666666666,794.0,768.4999999999995,157.91494428846613,0.006374643132515062,0.009575510033967501,0.005903682247275304,0.005862004292829313,0.0034030049805155553,0.0064579990414070565,0.006139162689895183,0.0018024376842470777,plate 9,P9_Buffer 10,B17,D13,F9,H5,J1,P20
