Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_4,MG_fluo_5,MG_fluo_6,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_4,GFP_fluo_5,GFP_fluo_6,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3,well_4,well_5,well_6
0.99,40.0,1.5075,1.005,29.7,3.015,1.5,10.0,50949.0,44844.6666666666,44206.0,43850.6666666666,47640.3333333333,40349.3333333333,44525.3333333333,3616.6815299233876,3.5762558418361157,2.680075362744373,2.5863123638943994,2.534145684993511,3.090508698524554,2.0201130441165676,2.633193863319386,0.48470431311050804,6974.66666666666,8554.66666666666,4424.0,22832.5,18873.5,16370.5,12462.58333333333,7377.6634056354105,0.0855989148756468,0.10837787605409763,0.048825790205287045,0.3142223135302947,0.25714515700783463,0.22105924572323815,0.16471856088866788,0.09709682786018098,plate 5,P5_Buffer 11,B13,E9,H5,K1,L20,O16
0.99,80.0,1.125,0.0,60.3,3.015,0.99,10.0,50578.3333333333,47696.6666666666,48320.0,46025.6666666666,45855.3333333333,46782.3333333333,47239.49999999995,1764.6372924978386,3.5218380679732806,3.0987790256673713,3.1902909295554136,2.8534586116616456,2.8284518828451883,2.9645452543492623,3.031662140008317,0.2364950576025614,739.0,743.666666666666,840.5,1122.5,1291.0,1331.5,981.5,271.3201351553932,-0.00430109077103655,-0.004233811138863921,-0.00283775877128164,0.0012278532871507224,0.0036571285773842437,0.004241019670882509,-0.0008049527420654587,0.0035708222251046584,plate 5,P5_Buffer 12,C13,F9,I5,L1,M20,P16
2.49,26.4,1.125,0.75,45.0,2.25,2.01,10.0,50166.0,46361.6666666666,43625.0,46697.0,42027.0,46018.3333333333,46189.99999999995,2799.7983399602954,3.461303188235587,2.902786953436585,2.5010154395752333,2.9520174215175365,2.2664121950622773,2.852382001027674,2.8775844772321295,0.37522638363105815,6184.66666666666,12090.0,10856.0,9998.5,23417.0,23860.5,11473.0,7423.857243648621,0.07420943428642139,0.15934700311288452,0.1415563460912337,0.12919371367951116,0.32264908745991777,0.3290430553603247,0.1504516746020591,0.09770478120410064,plate 5,P5_Buffer 13,A17,D13,G9,J5,M1,N20
2.01,53.6,2.25,0.0,60.3,3.015,1.5,8.3,50343.6666666666,46745.0,46849.6666666666,49450.0,45150.0,48233.3333333333,47541.49999999995,1919.3250134897316,3.487386527686016,2.959064327485385,2.974430497443045,3.356186840881847,2.7249015145954196,3.1775673493356824,3.0759989233893634,0.25722616287950106,1962.66666666666,1453.33333333333,1331.5,1390.5,2299.5,1827.5,1640.4166666666652,383.76374387259506,0.013340589922231912,0.005997498639389588,0.004241019670882509,0.005091626449065166,0.018196737658692886,0.011391883433231628,0.008694691036310608,0.005050683411405469,plate 5,P5_Buffer 14,B17,E13,H9,K5,N1,O20
2.01,80.0,0.7425,0.495,45.0,3.735,2.01,10.0,52198.6666666666,48590.0,52396.3333333333,49135.6666666666,47280.0,49810.0,49472.8333333333,2034.1256124947965,3.759720081235161,3.2299297756245613,3.788739631505542,3.310039394161829,3.0376079669186966,3.4090386356407105,3.35953901490127,0.27261163296445046,3448.0,2624.33333333333,2000.0,5796.0,30209.5,9212.5,4622.0,10775.375205979124,0.034754735705180714,0.022879880626709783,0.013878826979613125,0.06860600206404308,0.4205769949312008,0.11786190134643373,0.051680368884611895,0.14181383643832787,plate 5,P5_Buffer 15,C17,F13,I9,L5,O1,P20
3.0,26.4,1.8675,0.495,60.3,3.735,1.5,8.3,48705.6666666666,54082.6666666666,56452.6666666666,51748.0,51818.0,54261.0,52950.3333333333,2681.2068675629357,3.2469108615331863,4.036311140473214,4.384252122635734,3.6935574640925934,3.7038342019623727,4.062492353617661,3.8700726712177933,0.3593328642007355,1661.33333333333,1313.33333333333,1104.5,1323.5,1353.0,3216.5,1338.25,782.1647696309598,0.008996247959084379,0.0039791096742104,0.0009683461344848268,0.004125683158586555,0.004550986547677884,0.03141718538061656,0.0043383348531322195,0.010294006898870507,plate 5,P5_Buffer 16,A21,D17,G13,J9,M5,P1
2.01,66.4,1.5075,0.0,45.0,2.25,0.99,10.0,51006.6666666666,40973.3333333333,40778.0,38797.6666666666,42173.3333333333,37221.6666666666,40875.66666666665,4829.1056897693725,3.5847219163669233,2.111722821698598,2.0830458293572196,1.7923120213364603,2.28789547089481,1.5609386087254349,2.0973843255279085,0.6471922774873938,1809.0,2333.33333333333,2186.66666666666,1505.0,1452.0,2245.5,1997.83333333333,387.67351312383533,0.011125167748547235,0.018684514991944474,0.016570012266518615,0.006742380281301001,0.005978275887340309,0.0174182162006952,0.013847590007532926,0.005102139566435627,plate 5,P5_Buffer 17,A2,B21,E17,H13,K9,N5
2.01,53.6,1.8675,0.495,45.0,2.25,2.01,8.3,52394.0,38865.6666666666,36513.3333333333,40001.0,43033.3333333333,39361.3333333333,39681.16666666665,5646.771989047943,3.7883970735765544,1.8022951381242456,1.4569478088526757,1.968974039002672,2.4141525361520957,1.8750642296116862,1.922019134307179,0.7567751585529063,5807.33333333333,18468.6666666666,15036.0,10716.5,19840.0,20063.5,16752.3333333333,5726.260537597322,0.0687693954564623,0.25130864891685717,0.2018196737658694,0.13954516565807298,0.27107924939958955,0.2743014632118577,0.22656416134136328,0.07536284906640413,plate 5,P5_Buffer 18,B2,C21,F17,I13,L9,O5
2.49,66.4,1.8675,0.495,29.7,3.735,2.01,10.0,66033.0,51407.6666666666,46435.6666666666,55251.6666666666,51487.3333333333,49853.0,51447.49999999995,6807.810424363644,5.790746042232504,3.6435929433066576,2.9136509334703513,4.207932662898524,3.6552888497394114,3.4153514889035748,3.6494408965230347,0.9123764556614514,9216.0,50961.3333333333,27731.0,13913.0,49843.0,46163.5,36947.25,18640.405157261244,0.11791236107056322,0.7197575049828976,0.3848443017155107,0.18562931085232492,0.7036344217015262,0.6505868345774062,0.5177155681464585,0.24532485575529486,plate 5,P5_Buffer 19,C2,D21,G17,J13,M9,P5
0.99,66.4,1.8675,0.75,45.0,3.015,0.0,8.3,51031.3333333333,58306.0,46167.3333333333,42011.3333333333,50932.0,47402.0,49167.0,5537.313873470914,3.5883432430448505,4.656340991949894,2.8742567716362033,2.2641121632533214,3.573760062639169,3.0555188529203114,3.31463945777974,0.7421056831550384,521.666666666666,738.333333333333,1357.0,934.0,637.0,1350.5,836.1666666666665,360.0553931148807,-0.007434399355076632,-0.004310702147061218,0.00460865480382586,-0.0014897632838226829,-0.005771631302809958,0.004514943887585398,-0.0029002327154419505,0.004738659735913278,plate 5,P5_Buffer 20,A6,D2,E21,H17,K13,N9
