Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3
4.5,0.0,2.25,1.5,45.0,2.25,0.0,10.0,35592.3333333333,43532.3333333333,43303.0,43303.0,4519.4132034705335,1.2380734197166587,2.111192566391148,2.085974011692913,,,,2.085974011692913,0.4057788715906374,8135.0,3728.33333333333,4262.0,4262.0,2404.98233611747,0.1525214899713467,0.026255969436485095,0.04154727793696275,,,,0.04154727793696275,0.05626532534760715,plate 2,P2_Buffer 1,A1,I8,M4
6.03,160.8,2.25,0.495,45.0,2.25,2.01,10.0,30849.0,39692.3333333333,35621.0,35621.0,4426.290462594961,0.7164745340248914,1.6889283946997076,1.2412257390539423,,,,1.2412257390539423,0.3974177771275555,49942.0,58015.0,40079.3333333333,49942.0,8982.702465995015,1.350429799426934,1.5817478510028653,1.067831900668576,,,,1.350429799426934,0.21015317624573013,plate 2,P2_Buffer 2,B1,J8,N4
9.0,0.0,2.25,1.5,45.0,0.0,0.0,10.0,22159.0,25568.6666666666,24687.0,24687.0,1769.8374166802398,-0.23911808368308282,0.13582464307313785,0.03887249601378238,,,,0.03887249601378238,0.15890616712981842,22280.0,12127.6666666666,19416.6666666666,19416.6666666666,5234.470219753071,0.5578223495702006,0.26692454632282525,0.4757784145176676,,,,0.4757784145176676,0.12246209276207408,plate 2,P2_Buffer 3,C1,K8,O4
9.0,160.8,2.25,0.75,45.0,2.25,0.99,8.2,38258.0,36121.0,41261.0,38258.0,2582.1301929479337,1.531202463207674,1.2962080530762654,1.861426241225746,,,,1.531202463207674,0.23183847743550523,76737.6666666666,55386.3333333333,34511.0,55386.3333333333,21113.780471004626,2.1182139446036277,1.5064278892072578,0.9082808022922636,,,,1.5064278892072578,0.49396359785197347,plate 2,P2_Buffer 4,D1,L8,P4
9.0,40.8,2.25,0.255,45.0,1.125,3.0,10.0,35416.3333333333,34701.3333333333,32969.0,34701.3333333333,1258.4146257773402,1.218719645180801,1.140094936128879,0.949599545479541,,,,1.140094936128879,0.11298769195278621,61366.0,50271.0,32541.0,50271.0,14539.214501936936,1.6777650429799427,1.3598567335243552,0.8518338108882522,,,,1.3598567335243552,0.340149539547459,plate 2,P2_Buffer 5,A5,E1,M8
9.0,120.0,2.25,0.495,45.0,1.5075,3.0,10.0,34331.6666666666,34902.3333333333,34767.0,34767.0,298.1863697608023,1.0994446786283711,1.162197826365853,1.1473159467038145,,,,1.1473159467038145,0.02677288470820303,36447.0,57686.0,31468.6666666666,36447.0,13923.765599918801,0.9637535816618911,1.5723209169054442,0.8211079274116504,,,,0.9637535816618911,0.32575091707658427,plate 2,P2_Buffer 6,B5,F1,N8
4.5,240.0,2.25,1.005,45.0,2.25,0.99,10.0,44273.6666666666,35514.3333333333,34914.5,35514.3333333333,5238.952203870935,2.192713010648242,1.2294961787291763,1.1635357293403998,,,,1.2294961787291763,0.4703832152305859,37468.3333333333,49865.3333333333,29001.3333333333,37468.3333333333,10493.507468906666,0.993018147086914,1.3482330468003811,0.7504106972301805,,,,0.993018147086914,0.24549893897713038,plate 2,P2_Buffer 7,C5,G1,O8
1.53,240.0,2.25,0.255,45.0,2.25,3.0,6.4,31748.0,35598.6666666666,33116.5,33116.5,1951.9894718332896,0.8153327346370282,1.2387698623609378,0.9658193281161263,,,,0.9658193281161263,0.1752608247081874,36648.6666666666,42156.3333333333,22644.6666666666,36648.6666666666,10059.419667010483,0.9695319961795587,1.127344794651384,0.5682712511938853,,,,0.9695319961795587,0.23534331702668151,plate 2,P2_Buffer 8,D5,H1,P8
9.0,79.2,2.25,0.255,45.0,2.25,1.5,8.2,45180.3333333333,32443.0,31720.0,32443.0,7571.25003867577,2.292414273408725,0.8917581511280571,0.8122537250517781,,,,0.8917581511280571,0.6797903088093802,92989.3333333333,56729.3333333333,35984.6666666666,56729.3333333333,28852.09644863753,2.5838777459407822,1.544909264565424,0.9505062082139426,,,,1.544909264565424,0.675003957103425,plate 2,P2_Buffer 9,A9,E5,I1
9.0,240.0,2.25,0.0,45.0,0.3825,0.0,10.0,28273.6666666666,27192.0,25486.0,27192.0,1405.4373116709794,0.4332789619339054,0.3143338892656207,0.12673423382145457,,,,0.3143338892656207,0.12618823301735027,56434.3333333333,63738.3333333333,36679.6666666666,56434.3333333333,13998.611317370567,1.5364565425023868,1.7457402101241632,0.9704202483285559,,,,1.5364565425023868,0.3275019564002647,plate 2,P2_Buffer 10,B9,F5,J1
9.0,240.0,1.5075,0.75,45.0,2.25,0.99,10.0,42097.0,29954.0,38075.6666666666,38075.6666666666,6185.8041813793525,1.95335667027107,0.6180561919249331,1.511152246027526,,,,1.511152246027526,0.555397023373131,65186.0,1906.0,66060.0,65186.0,36789.6226129054,1.787220630372493,-0.025959885386819485,1.8122636103151863,,,,1.787220630372493,0.8607049019214501,plate 2,P2_Buffer 11,C9,G5,K1
0.0,79.2,2.25,1.5,45.0,2.25,0.0,8.2,43886.3333333333,40170.6666666666,40538.0,40538.0,2047.4556839594331,2.1501200447189532,1.7415281417810595,1.781921815149467,,,,1.781921815149467,0.18383232947828268,2952.66666666666,2362.0,3205.0,2952.66666666666,432.66773668759913,0.004030563514804015,-0.012893982808022923,0.011260744985673352,,,,0.004030563514804015,0.010122399074016113,plate 2,P2_Buffer 12,D9,H5,L1
1.53,79.2,2.25,0.255,45.0,2.25,0.99,10.0,45576.6666666666,42642.6666666666,42706.5,42706.5,1675.822553697562,2.335996920990416,2.0133607023074247,2.020380111064282,,,,2.020380111064282,0.1504649728206625,2320.0,3017.0,3652.66666666666,3017.0,666.5685205532799,-0.014097421203438395,0.005873925501432665,0.024087870105061894,,,,0.005873925501432665,0.015594582177243717,plate 2,P2_Buffer 13,E9,I5,M1
1.53,240.0,2.25,1.5,45.0,2.25,2.01,6.4,28349.6666666666,27628.0,32268.5,28349.6666666666,2497.074879474738,0.4416362736652985,0.3622784670930864,0.8725693235342664,,,,0.4416362736652985,0.22420172293440366,31222.0,25765.6666666666,32704.0,31222.0,3653.9560043166584,0.8140401146131805,0.6576981852913065,0.8565042979942693,,,,0.8140401146131805,0.08548546087062714,plate 2,P2_Buffer 14,F9,J5,N1
4.5,0.0,1.5075,1.5,45.0,2.25,0.0,10.0,36689.6666666666,37954.3333333333,42204.5,37954.3333333333,2888.964207885697,1.3587412715576466,1.4978098711581127,1.9651778677858696,,,,1.4978098711581127,0.2593877973895779,3562.33333333333,4622.0,11162.3333333333,4622.0,4116.204836892731,0.021499522445081083,0.05186246418338109,0.23926456542502292,,,,0.05186246418338109,0.09629991907510266,plate 2,P2_Buffer 15,G9,K5,O1
4.5,79.2,2.25,0.0,45.0,1.125,3.0,10.0,34465.3333333333,33798.0,32877.5,33798.0,797.2733452442841,1.1141432839103427,1.0407602221285526,0.9395377820134558,,,,1.0407602221285526,0.07158377953449457,46333.0,36007.3333333333,42878.6666666666,42878.6666666666,5256.21905724808,1.2470200573065902,0.9511556829035329,1.1480420248328538,,,,1.1480420248328538,0.12297091372063644,plate 2,P2_Buffer 16,H9,L5,P1
9.0,240.0,2.25,0.0,30.15,2.25,0.99,8.2,31437.6666666666,37254.0,35103.5,35103.5,2940.8818893381713,0.7812070450671655,1.4207979766508494,1.184319044040838,,,,1.184319044040838,0.2640492649843554,26775.0,68569.3333333333,63108.3333333333,63108.3333333333,22718.20096636499,0.6866189111747851,1.8841642788920716,1.7276886341929312,,,,1.7276886341929312,0.5314995247526068,plate 2,P2_Buffer 17,A2,I9,M5
9.0,0.0,2.25,0.255,0.0,2.25,3.0,10.0,25777.6666666666,36605.0,34026.0,34026.0,5655.637171425979,0.15880725033446888,1.349430933049874,1.0658321573227318,,,,1.0658321573227318,0.5077955845650441,4690.0,5270.66666666666,5965.0,5270.66666666666,638.3438931531547,0.053810888252149,0.07044890162368653,0.09034383954154727,,,,0.07044890162368653,0.014934258057754854,plate 2,P2_Buffer 18,B2,J9,N5
9.0,120.0,1.5075,1.005,45.0,2.25,0.99,10.0,33754.3333333333,37948.6666666666,35280.5,35280.5,2122.919772650634,1.0359584333705993,1.497186738265856,1.2037827832047403,,,,1.2037827832047403,0.19060792873776528,41118.6666666666,26093.6666666666,39615.3333333333,39615.3333333333,8274.923016314173,1.0976122254059197,0.6670964660935988,1.054536771728748,,,,1.054536771728748,0.1935944512968673,plate 2,P2_Buffer 19,C2,K9,O5
9.0,240.0,1.5075,1.005,30.15,2.25,0.0,10.0,31451.0,38268.5,41603.0,38268.5,5174.622377526693,0.7826732401077683,1.5323570918021427,1.8990341440170149,,,,1.5323570918021427,0.46460731398669364,35570.0,55094.3333333333,49826.0,49826.0,10101.059880215711,0.9386246418338109,1.4980611270296074,1.347106017191977,,,,1.347106017191977,0.23631750303559748,plate 2,P2_Buffer 20,D2,L9,P5
0.0,40.8,2.25,0.495,45.0,2.25,0.51,10.0,44561.6666666666,49184.6666666666,40903.0,44561.6666666666,4150.180187966821,2.2243828235251004,2.732749298975499,1.8220589043857627,,,,2.2243828235251004,0.3726270110194356,4079.33333333333,3762.66666666666,4763.0,4079.33333333333,511.263902283137,0.036313276026742974,0.027239732569245275,0.0559025787965616,,,,0.036313276026742974,0.011961181322806543,plate 2,P2_Buffer 21,A6,E2,M9
9.0,79.2,1.125,0.0,45.0,2.25,2.01,10.0,43024.3333333333,37582.6666666666,37670.0,37670.0,3116.8426510029526,2.055330535344468,1.4569396844015154,1.4665432619174221,,,,1.4665432619174221,0.2798480326778545,31906.0,39656.6666666666,38354.6666666666,38354.6666666666,4150.368247829616,0.8336389684813753,1.0557211079274098,1.01841451766953,,,,1.01841451766953,0.09709918292102808,plate 2,P2_Buffer 22,B6,F2,N9
6.03,240.0,1.5075,0.255,45.0,2.25,2.01,10.0,37109.0,28046.3333333333,32945.5,32945.5,4536.307113884778,1.4048531055843756,0.4082803364917596,0.9470153767204917,,,,0.9470153767204917,0.40729570388633934,46589.0,2839.33333333333,52125.6666666666,46589.0,26999.477355023806,1.254355300859599,0.0007831900668575887,1.4129990448901604,,,,1.254355300859599,0.6316613451923353,plate 2,P2_Buffer 23,C6,G2,O9
9.0,120.0,1.5075,0.495,45.0,2.25,1.5,10.0,30468.0,42786.3333333333,40503.5,40503.5,6553.166211698585,0.6745780107398812,2.0291589538698425,1.7781280354819267,,,,1.7781280354819267,0.5883808961497367,42047.3333333333,64936.3333333333,51449.3333333333,51449.3333333333,11505.09375595581,1.1242215854823294,1.7800668576886332,1.3936198662846218,,,,1.3936198662846218,0.2691653213464426,plate 2,P2_Buffer 24,D6,H2,P9
1.53,40.8,2.25,1.5,22.5,2.25,0.0,10.0,44044.0,38514.3333333333,35362.6666666666,38514.3333333333,4394.61345791012,2.1674578010739958,1.5593900628631145,1.2128182101424012,,,,1.5593900628631145,0.3945736337315686,17075.6666666666,9382.33333333333,23161.6666666666,17075.6666666666,6905.273357959675,0.40870105062081946,0.1882617000955109,0.5830850047755473,,,,0.40870105062081946,0.1615510626689224,plate 2,P2_Buffer 25,A10,E6,I2
1.53,240.0,2.25,1.5,45.0,1.5075,0.51,10.0,37735.0,32341.0,33709.6666666666,33709.6666666666,2803.919663877969,1.473690962740324,0.8805417590675032,1.0310466799846014,,,,1.0310466799846014,0.25175200983293317,15694.6666666666,24241.0,18776.0,18776.0,4328.214673425929,0.3691308500477536,0.6140114613180516,0.45742120343839543,,,,0.45742120343839543,0.1012599565149996,plate 2,P2_Buffer 26,B10,F6,J2
