Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,MG_fluo_1,MG_fluo_2,MG_fluo_3,MG_fluo_median,MG_fluo_std,MG_yield_1,MG_yield_2,MG_yield_3,MG_yield_4,MG_yield_5,MG_yield_6,MG_yield_median,MG_yield_std,GFP_fluo_1,GFP_fluo_2,GFP_fluo_3,GFP_fluo_median,GFP_fluo_std,GFP_yield_1,GFP_yield_2,GFP_yield_3,GFP_yield_4,GFP_yield_5,GFP_yield_6,GFP_yield_median,GFP_yield_std,name_plate,Buffer,well_1,well_2,well_3
6.03,79.2,2.25,0.255,45.0,2.25,2.01,10.0,45076.0,48711.0,41186.3333333333,45076.0,3763.0515148883933,1.9516423003839105,2.37452980183813,1.499127467328493,,,,1.9516423003839105,0.3574497261133045,70750.0,42153.0,39252.5,42153.0,17408.3017336557,1.0258606113050668,0.5992052835218181,0.5559310317389278,,,,0.5992052835218181,0.21206425633766146,plate 1,P1_Buffer 1,A1,I8,M4
9.0,0.0,0.7425,0.255,45.0,2.25,1.5,10.0,42793.0,43611.3333333333,37121.6666666666,42793.0,3534.342575988445,1.6860433551789635,1.781246364447195,1.0262535386047154,,,,1.6860433551789635,0.33572481821714567,56583.6666666666,20618.0,19283.0,20618.0,21160.699175419297,0.8145048190254527,0.27791205402878516,0.25799441012940283,,,,0.27791205402878516,0.25777516973666975,plate 1,P1_Buffer 2,B1,J8,N4
2.97,79.2,2.25,1.5,14.85,2.25,3.0,10.0,36274.6666666666,39968.0,32494.6666666666,36274.6666666666,3736.750420312274,0.9277155155698532,1.3573893822468672,0.4879590491332783,,,,0.9277155155698532,0.3549514028733707,49901.0,40946.0,24678.5,40946.0,12786.699388427023,0.7148022160554618,0.5811973463034252,0.3384930226081425,,,,0.5811973463034252,0.15576487231822456,plate 1,P1_Buffer 3,C1,K8,O4
2.97,0.0,2.25,1.5,30.15,2.25,3.0,8.2,40831.6666666666,38561.6666666666,42884.6666666666,40831.6666666666,2162.4075317417237,1.4578663667739462,1.1937798115329343,1.6967076433861916,,,,1.4578663667739462,0.2054056334090208,43633.6666666666,19947.5,20359.0,20359.0,13557.986158568125,0.6212962134097213,0.26790847332875833,0.27404788191647056,,,,0.27404788191647056,0.16516052491177036,plate 1,P1_Buffer 4,D1,L8,P4
0.0,240.0,2.25,0.255,45.0,2.25,0.0,8.2,36395.6666666666,35178.3333333333,35431.0,35431.0,642.4332217782729,0.9417923760034049,0.8001706286113126,0.8295652848334438,,,,0.8295652848334438,0.06102429856784523,3699.33333333333,4167.33333333333,3416.0,3699.33333333333,379.43017705403753,0.025492594913416756,0.032474959965784506,0.02126537960393491,,,,0.025492594913416756,0.0046221383084985475,plate 1,P1_Buffer 5,A5,E1,M8
9.0,40.8,1.5075,0.255,22.5,2.25,0.0,10.0,38319.6666666666,33622.6666666666,35267.3333333333,35267.3333333333,2383.3966036667825,1.165626090665831,0.6191879629270499,0.8105246829797929,,,,0.8105246829797929,0.22639723634645462,62539.3333333333,65102.0,32952.5,62539.3333333333,17867.74709445713,0.9033608848307626,0.9415948040064064,0.46193765603397735,,,,0.9033608848307626,0.21766112272111673,plate 1,P1_Buffer 6,B5,F1,N8
9.0,79.2,2.25,0.0,0.0,2.25,0.0,8.2,36473.6666666666,28551.3333333333,31758.0,31758.0,3985.0468141680535,0.9508667157870168,0.029200760072904838,0.402256951176952,,,,0.402256951176952,0.37853690990869004,23853.0,32334.6666666666,21266.5,23853.0,5789.832540116523,0.32617690647410497,0.45271984006206495,0.28758740389301696,,,,0.32617690647410497,0.07053051760733503,plate 1,P1_Buffer 7,C5,G1,O8
9.0,120.0,2.25,1.5,0.0,2.25,2.01,10.0,32856.6666666666,28141.6666666666,41224.0,32856.6666666666,6625.593527571177,0.5300732927444001,-0.018458913405983636,1.5035095203009248,,,,0.5300732927444001,0.6293606617922266,16078.6666666666,21377.6666666666,17674.0,17674.0,2718.5056011904135,0.21018709157640247,0.2892459642526774,0.2339888003660274,,,,0.2339888003660274,0.03311626128076936,plate 1,P1_Buffer 8,D5,H1,P8
6.03,0.0,2.25,0.75,30.15,2.25,3.0,8.2,38144.0,42418.3333333333,29938.3333333333,38144.0,6342.36142785016,1.1451894365377897,1.642455500833747,0.1905611354558491,,,,1.1451894365377897,0.6024566356126179,46245.6666666666,22349.6666666666,31314.0,31314.0,12071.542000061929,0.6602661653686626,0.3037477993614412,0.43749191855896763,,,,0.43749191855896763,0.14705297600298414,plate 1,P1_Buffer 9,A9,E5,I1
2.97,0.0,0.7425,0.495,45.0,2.25,0.99,10.0,34288.6666666666,38283.0,32707.3333333333,34288.6666666666,2873.5394164301824,0.6966688641563511,1.1613603753829442,0.5127001977740702,,,,0.6966688641563511,0.27295557164574646,3453.66666666666,2604.33333333333,3737.0,3453.66666666666,589.4317414067373,0.02182735058037182,0.009155651040889662,0.02605456588985381,,,,0.02182735058037182,0.007180333028211096,plate 1,P1_Buffer 10,B9,F5,J1
9.0,240.0,0.0,0.0,22.5,2.25,0.0,1.0,28673.0,26598.0,20252.0,26598.0,4387.303309931208,0.04335517896614951,-0.1980455268158327,-0.9363245045953311,,,,-0.1980455268158327,0.4167469832146096,36590.0,40101.6666666666,42663.5,40101.6666666666,3049.103558303528,0.5162076408160023,0.5686002446811681,0.6068217308706081,,,,0.5686002446811681,0.03714353579580157,plate 1,P1_Buffer 11,C9,G5,K1
