Parameter;maxValue;weight0;weight1;weight2;weight3;weight4;weight5
Mg-glutamate;9.00;0.20;0.36;0.52;0.68;0.84;1.00
K-glutamate;80.0;0.00;0.33;0.50;0.67;0.83;1.00
Amino acid;2.25;0.00;0.33;0.50;0.67;0.83;1.00
Spermidine;1.50;0.00;0.33;0.50;0.67;0.83;1.00
3-PGA;60.0;0.30;0.40;0.50;0.60;0.70;0.80
NTPs;6.75;0.60;0.68;0.76;0.84;0.92;1.00
PEG-8000;3.00;0.00;0.33;0.50;0.67;0.83;1.00
DNA;10.00;0.50;0.60;0.70;0.80;0.90;1.00
