Parameter;maxValue;weight0;weight1;weight2;weight3;weight4;weight5
Mg-glutamate;3.0;0.00;0.33;0.50;0.67;0.83;1.00
K-glutamate;80.0;0.00;0.33;0.50;0.67;0.83;1.00
Amino acid;2.25;0.00;0.33;0.50;0.67;0.83;1.00
Spermidine;1.50;0.00;0.33;0.50;0.67;0.83;1.00
3-PGA;90.0;0.00;0.33;0.50;0.67;0.83;1.00
NTPs;4.5;0.00;0.33;0.50;0.67;0.83;1.00
PEG-8000;3.00;0.00;0.33;0.50;0.67;0.83;1.00
DNA;10.00;0.10;0.33;0.50;0.67;0.83;1.00
